Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
Black Girl,$,1966,$,Ousmane Sembène,$,"['Mbissine Thérèse Diop', 'Anne-Marie Jelinek', 'Robert Fontaine', 'Momar Nar Sene', 'Ibrahima Boy', 'Bernard Delbard', 'Nicole Donati', 'Raymond Lemeri', 'Suzanne Lemeri', 'Philippe', 'Sophie', 'Damien', 'Toto Bissainthe', 'Robert Marcy', 'Sophie Leclair', 'Ousmane Sembène']",$,nan,$,3.99,$,https://letterboxd.com//film/black-girl-1966/
Cairo Station,$,1958,$,Youssef Chahine,$,"['Farid Shawqi', 'Hind Rostom', 'Youssef Chahine', 'Hassan el Baroudi', 'Abdel Aziz Khalil', 'Said Khalil', 'Farouq ElDemerdash', 'Ahmed Abaza', 'Safia Sarwat', 'Asaad Kellada', 'Sherine', 'Soheir', 'Esmat Mahmoud', 'Nawal Morsi', 'Gharib Moawad', 'Mohamed Mazhar', 'Galal Issa', 'Mahrous El Garhi', 'Ahmed Tantawi', 'S. Abdel Aziz', 'Nadia Lotfi', 'Hussein Ismail', 'Naima Wasfi', 'Abdel Ghani ElNagdi', 'Abdel Hamid Badawi', 'Hanaa Abdel Fattah', 'Lotfy ElHakim', 'Sayed ElAraby']",$,nan,$,3.77,$,https://letterboxd.com//film/cairo-station/
"Harvest: 3,000 Years",$,1975,$,Haile Gerima,$,"['Kasu Asfaw', 'Gebru Kasa', 'Worke Kasa', 'Melaku Makonen', 'Adane Melaku', 'Harege-Weyn Tafere']",$,nan,$,3.93,$,https://letterboxd.com//film/harvest-3000-years/
The Blazing Sun,$,1954,$,Youssef Chahine,$,"['Faten Hamamah', 'Omar Sharif', 'Zaki Rostom', 'Farid Shawqi', 'Abdel Warith Assir', 'Hamdy Ghaith', 'Abdel Ghani Kamar', 'سراج جمعة', 'Zaki Ibrahim']",$,nan,$,3.65,$,https://letterboxd.com//film/the-blazing-sun-1954/
Hyenas,$,1992,$,Djibril Diop Mambéty,$,"['Djibril Diop Mambéty', 'Mansour Diouf', 'Ami Diakhate', 'Makhouredia Gueye', 'Calgou Fall', 'Faly Gueye', 'Issa Samb', 'Omar Bah', 'Kaoru Egushi', 'Mbaba Diop', 'Abdoulaye Diop', 'Rama Thiaw', 'Oumi Samb', 'Tcheley Hanny']",$,nan,$,3.97,$,https://letterboxd.com//film/hyenas-1992/
Touki Bouki,$,1973,$,Djibril Diop Mambéty,$,"['Magaye Niang', 'Myriam Niang', 'Christoph Colomb', 'Mustapha Ture', 'Aminata Fall', 'Ousseynou Diop', 'Ndou Labia']",$,nan,$,3.79,$,https://letterboxd.com//film/touki-bouki/
The Night of Counting the Years,$,1969,$,Shadi Abdel Salam,$,"['Ahmed Marei', 'Mohamed Nabih', 'Nadia Lotfi', 'Zouzou Hamdy ElHakim', 'Mohamed Khairy', 'Ahmad Anan', 'Mohamed Morshed', 'Ahmed Khalil', 'Ahmed Hegazi', 'Helmi Halali', 'Mohamed Abdel Rahman', 'Gaby Karraz', 'Abdelazim Abdelhack', 'Abdelmonen Aboulfoutouh', 'Shafiq Nour ElDein']",$,nan,$,4.07,$,https://letterboxd.com//film/the-night-of-counting-the-years/
Waiting for Happiness,$,2002,$,Abderrahmane Sissako,$,"['Khatra Ould Abder Kader', 'Maata Ould Mohamed Abeid', 'Mohamed Mahmoud Ould', 'Nana Diakité', 'Fatimetou Mint Ahmeda', 'Makanfing Dabo', 'Santha Leng', 'Baba Ould Mini', 'Mickaël Onoimweniku', 'Diallo Ibrahima Sory', 'Cheick Oumar Tembely', 'Jerib Ould Jiddou', 'Mohamed Salem Ould Dendou', 'Mohamed Lemine', 'Aminala Tembely']",$,nan,$,3.51,$,https://letterboxd.com//film/waiting-for-happiness/
Bamako,$,2006,$,Abderrahmane Sissako,$,"['Aïssa Maïga', 'Tiécoura Traoré', 'Maimouna Hélène Diarra', 'Balla Habib Dembélé', 'Djénéba Koné', 'Hamadoun Kassogué', 'William Bourdon', 'Aïssata Tall Sall', 'Mamadou Kanouté', 'Gabriel Magma Konate', 'Aminata Traoré', 'Danny Glover', 'Elia Suleiman', 'Abderrahmane Sissako', 'Jean-Henri Roger', 'Zeka Laplaine', 'Hamèye Mahalmadane', 'Roland Rappaport', 'Mamadou Savadogo']",$,nan,$,3.68,$,https://letterboxd.com//film/bamako/
Brightness,$,1987,$,Souleymane Cissé,$,"['Issiaka Kane', 'Balla Moussa Keita', 'Aoua Sangare', 'Ismaila Sarr', 'Niamanto Sanogo']",$,nan,$,3.61,$,https://letterboxd.com//film/brightness-1987/
Omar Gatlato,$,1976,$,Merzak Allouache,$,"['Boualem Benani', 'Aziz Degga', 'Farida Guenaneche', 'Rabah Leghaa', 'Abdelkader Chaou', 'Krimo Baba Aïssa', 'Areski Nebti']",$,nan,$,3.67,$,https://letterboxd.com//film/omar-gatlato/
The Child of Another,$,1975,$,Jean-Pierre Dikongué-Pipa,$,"['Philippe Abia', 'Arlette Din Beli', 'Gisèle Dikongue-Pipa', 'David Endene']",$,nan,$,3.74,$,https://letterboxd.com//film/the-child-of-another/
Life on Earth,$,1998,$,Abderrahmane Sissako,$,"['Abderrahmane Sissako', 'Nana Baby', 'Mohamed Sissako', 'Bourama Coulibaly', 'Keita Bina Gaousso', 'Mahamadou Dramé', 'Moussa Fofana', 'Keita Kagny', 'Madlaye Traoré', 'Solo Diarra', 'Fodia Coulibaly', 'Madou Mariko', 'Lassina Kané', 'Mahamane Maiiga', 'Cheykh Bouya Ould Yarba', 'Baba Sidibé', 'Lamine Sow', 'Dramane Sissako', 'Mamadou Kanouté', 'Tamani Dramé', 'Ali Haiidara', 'Aminata Dramé', 'Bassaro Sissako', 'James Campbell', 'Valérie Rohard', 'Lyako Suketomo', 'Alberic de Gouville', 'Fabrice Leclerc']",$,nan,$,3.53,$,https://letterboxd.com//film/life-on-earth-1998/
Chronicle of the Years of Fire,$,1975,$,Mohammed Lakhdar-Hamina,$,"['Yorgo Voyagis', 'Mohammed Lakhdar-Hamina', 'Leila Shenna', 'Nourredine Meziane (Cheikh Nourredine)', 'François Maistre', 'Mohamed Hadj Smaïn', 'Brahim Hadjadj', 'Yahia Benmabrouk', 'Nadia Talbi', 'Keltoum (Aïcha Adjouri)', 'Areski Nebti']",$,nan,$,3.53,$,https://letterboxd.com//film/chronicle-of-the-years-of-fire/
Wanderers of the Desert,$,1984,$,Nacer Khemir,$,"['Nacer Khemir', 'Soufiane Makni', 'Noureddine Kasbaoui', 'Sonia Ichti', 'Hedi Daoud', 'Hassen Khalsi', 'Abdelazim Abdelhack', 'Jamila Ourabi']",$,nan,$,3.7,$,https://letterboxd.com//film/wanderers-of-the-desert/
