Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
Rosetta,$,1999,$,"Luc Dardenne, Jean-Pierre Dardenne",$,"['Émilie Dequenne', 'Olivier Gourmet', 'Fabrizio Rongione', 'Anne Yernaux', 'Bernard Marbaix', 'Frédéric Bodson', 'Florian Delain', 'Christiane Dorval', 'Mireille Bailly', 'Thomas Gollas', 'Leon Michaux', 'Victor Marit', 'Colette Regibeau', 'Claire Tefnin', 'Sophia Leboutte', 'Gaetano Ventura', 'Christian Neys', 'Valentin Traversi', 'Jean-Francois Noville']",$,nan,$,3.86,$,https://letterboxd.com//film/rosetta/
"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",$,1975,$,Chantal Akerman,$,"['Delphine Seyrig', 'Jan Decorte', 'Henri Storck', 'Jacques Doniol-Valcroze', 'Yves Bical', 'Chantal Akerman']",$,nan,$,4.19,$,https://letterboxd.com//film/jeanne-dielman-23-quai-du-commerce-1080-bruxelles/
"Je, Tu, Il, Elle",$,1974,$,Chantal Akerman,$,"['Chantal Akerman', 'Niels Arestrup', 'Claire Wauthion']",$,nan,$,3.69,$,https://letterboxd.com//film/je-tu-il-elle/
The Vanishing,$,1988,$,George Sluizer,$,"['Bernard-Pierre Donnadieu', 'Gene Bervoets', 'Johanna ter Steege', 'Gwen Eckhaus', 'Pierre Forget', 'Bernadette Le Saché', 'Tania Latarjet', 'Lucille Glenn', 'Roger Souza', 'Caroline Appéré', 'Didier Rousset']",$,nan,$,3.96,$,https://letterboxd.com//film/the-vanishing/
The Pearl,$,1929,$,Henri d'Ursel,$,"['Georges Hugnet', 'Kissa Kouprine', 'Renee Savoye', 'Mary Stutz']",$,nan,$,3.73,$,https://letterboxd.com//film/the-pearl/
Letter from a Filmmaker to His Daughter,$,2000,$,Eric Pauwels,$,nan,$,nan,$,3.89,$,https://letterboxd.com//film/letter-from-a-filmmaker-to-his-daughter/
Mirror of Holland,$,1950,$,Bert Haanstra,$,nan,$,nan,$,3.69,$,https://letterboxd.com//film/mirror-of-holland/
Rain,$,1929,$,"Joris Ivens, Mannus Franken",$,nan,$,nan,$,3.62,$,https://letterboxd.com//film/rain-1929/
The Son,$,2002,$,"Luc Dardenne, Jean-Pierre Dardenne",$,"['Olivier Gourmet', 'Morgan Marinne', 'Isabella Soupart', 'Nassim Hassaïni', 'Pierre Nisse', 'Anne Gerard']",$,nan,$,3.89,$,https://letterboxd.com//film/the-son/
The Kid with a Bike,$,2011,$,"Luc Dardenne, Jean-Pierre Dardenne",$,"['Cécile de France', 'Thomas Doret', 'Jérémie Renier', 'Fabrizio Rongione', 'Olivier Gourmet', 'Egon Di Mateo', 'Baptiste Sornin', 'Samuel De Rijk', 'Myriem Akheddiou']",$,nan,$,3.78,$,https://letterboxd.com//film/the-kid-with-a-bike/
"Mother Dao, the Turtlelike",$,1995,$,Vincent Monnikendam,$,nan,$,nan,$,3.79,$,https://letterboxd.com//film/mother-dao-the-turtlelike/
News from Home,$,1976,$,Chantal Akerman,$,['Chantal Akerman'],$,nan,$,4.06,$,https://letterboxd.com//film/news-from-home/
Innocence,$,2004,$,Lucile Hadzihalilovic,$,"['Zoé Auclair', 'Lea Bridarolli', 'Bérangère Haubruge', 'Marion Cotillard', 'Hélène de Fougerolles', 'Olga Peytavi-Müller', 'Alisson Lalieux', 'Anna Palomo-Díaz', 'Astrid Homme', 'Joséphine Van Wambeke', 'Corinne Marchand']",$,nan,$,3.6,$,https://letterboxd.com//film/innocence/
Daughters of Darkness,$,1971,$,Harry Kümel,$,"['Delphine Seyrig', 'John Karlen', 'Danielle Ouimet', 'Andrea Rau', 'Paul Esser', 'Georges Jamin', 'Joris Collet', 'Fons Rademakers']",$,nan,$,3.55,$,https://letterboxd.com//film/daughters-of-darkness/
The Child,$,2005,$,"Luc Dardenne, Jean-Pierre Dardenne",$,"['Jérémie Renier', 'Déborah François', 'Olivier Gourmet', 'Jérémie Segard', 'Stéphane Bissot', 'François Olivier', 'Mireille Bailly', 'Bernard Marbaix', 'Fabrizio Rongione']",$,nan,$,3.78,$,https://letterboxd.com//film/the-child/
Fanfare,$,1958,$,Bert Haanstra,$,"['Hans Kaart', 'Bernard Droog', 'Ineke Brinkman', 'Wim Van den Heuvel', 'Andrea Domburg', 'Albert Mol', 'Henk van Buuren', 'Herbert Joeks', 'Johan Valk', 'Ton Lutz', 'Riek Schagen', 'Sara Heyblom', 'Dio Huysmans', 'Jan Mol', 'Huib de Vries']",$,nan,$,3.41,$,https://letterboxd.com//film/fanfare/
Harpy,$,1979,$,Raoul Servais,$,"['Will Spoor', 'Fran Waller Zeper', 'Sjoert Schwibethus']",$,nan,$,3.6,$,https://letterboxd.com//film/harpy-1979/
The Northerners,$,1992,$,Alex van Warmerdam,$,"['Jack Wouterse', 'Annet Malherbe', 'Rudolf Lucieer', 'Leonard Lucieer', 'Loes Wouterson', 'Alex van Warmerdam', 'Veerle Dobbelaere', 'Dary Some', 'Theo van Gogh', 'Jacques Commandeur', 'Loes Luca', 'Leny Breederveld', 'Olga Zuiderhoek', 'Cecile Heuer', 'Annemarie Blom', 'Beppie Melissen', 'Janni Goslinga', 'Victor Löw']",$,nan,$,3.58,$,https://letterboxd.com//film/the-northerners/
Spetters,$,1980,$,Paul Verhoeven,$,"['Hans van Tongeren', 'Renée Soutendijk', 'Toon Agterberg', 'Maarten Spanjer', 'Marianne Boyer', 'Rutger Hauer', 'Jeroen Krabbé', 'Peter Tuinman', 'Saskia van Basten-Batenburg', 'Yvonne Valkenburg', 'Ab Abspoel', 'Rudi Falkenhagen', 'Hans Veerman', 'Ben Aerden', 'Kitty Courbois', 'Margot Keune', 'Jonna Koster', 'Hugo Metsers']",$,nan,$,3.44,$,https://letterboxd.com//film/spetters/
