Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
The Heart of the World,$,2000,$,Guy Maddin,$,"['Leslie Bais', 'Caelum Vatnsdal', 'Shaun Balbar', 'Greg Klymkiw', 'Tammy Gillis', 'Carson Nattrass']",$,nan,$,3.75,$,https://letterboxd.com//film/the-heart-of-the-world/
Black Christmas,$,1974,$,Bob Clark,$,"['Olivia Hussey', 'Keir Dullea', 'Margot Kidder', 'Marian Waldman', 'Andrea Martin', 'James Edmond', 'Doug McGrath', 'Art Hindle', 'Lynne Griffin', 'Michael Rapport', 'John Saxon', 'Leslie Carlson', 'Martha Gibson', 'John Rutter', 'Robert Warner', 'Sydney Brown', 'Jack Van Evera', 'Les Rubie', 'Marcia Diamond', 'Pam Barney', 'Robert Hawkins', 'David Clement', 'Dave Mann', 'John Stoneham Sr.', 'Danny Gain', 'Tom Foreman']",$,nan,$,3.87,$,https://letterboxd.com//film/black-christmas/
Dead Ringers,$,1988,$,David Cronenberg,$,"['Jeremy Irons', 'Geneviève Bujold', 'Heidi von Palleske', 'Barbara Gordon', 'Shirley Douglas', 'Stephen Lack', 'Nick Nichols', 'Lynne Cormack', 'Damir Andrei', 'Miriam Newhouse', 'David Hughes', 'Richard W. Farrell', 'Warren Davis', 'Marsha Moreau', 'Denis Akiyama', 'Dee McCafferty', 'Jane Luk', 'Jill Hennessy', 'David Cronenberg']",$,nan,$,3.79,$,https://letterboxd.com//film/dead-ringers/
The Sweet Hereafter,$,1997,$,Atom Egoyan,$,"['Ian Holm', 'Sarah Polley', 'Tom McCamus', 'Gabrielle Rose', 'Alberta Watson', 'Caerthan Banks', 'Maury Chaykin', 'Stephanie Morgenstern', 'Kirsten Kieferle', 'Arsinée Khanjian', 'Earl Pastko', 'Simon Baker', 'David Hemblen', 'Bruce Greenwood', 'Sarah Rosen Fruitman', 'Marc Donato', 'Devon Finn', 'Fides Krucker', 'Magdalena Sokolowski', 'James D. Watts', 'Brooke Johnson', 'Allegra Denton', 'Peter Donaldson', 'Russell Banks', 'Mychael Danna']",$,nan,$,3.82,$,https://letterboxd.com//film/the-sweet-hereafter/
My Winnipeg,$,2007,$,Guy Maddin,$,"['Ann Savage', 'Amy Stewart', 'Darcy Fehr', 'Louis Negin', 'Brendan Cade', 'Wesley Cade', 'Guy Maddin', 'Lou Profeta', 'Fred Dunsmore', 'Kate Yacula', 'Jacelyn Lobay', 'Eric Nipp', 'Jennifer Palichuk']",$,nan,$,3.91,$,https://letterboxd.com//film/my-winnipeg/
Exotica,$,1994,$,Atom Egoyan,$,"['Bruce Greenwood', 'Mia Kirshner', 'Elias Koteas', 'Don McKellar', 'Sarah Polley', 'Arsinée Khanjian', 'Victor Garber', 'David Hemblen', 'Calvin Green', 'Peter Krantz', 'Jack Blum', 'Billy Merasty', 'Ken McDougall', ""Damon D'Oliveira""]",$,nan,$,3.88,$,https://letterboxd.com//film/exotica/
A Married Couple,$,1969,$,Allan King,$,"['Billy Edwards', 'Antoinette Edwards', 'Bogart Edwards', 'Merton']",$,nan,$,3.87,$,https://letterboxd.com//film/a-married-couple/
Videodrome,$,1983,$,David Cronenberg,$,"['James Woods', 'Sonja Smits', 'Debbie Harry', 'Peter Dvorsky', 'Leslie Carlson', 'Jack Creley', 'Lynne Gorman', 'Julie Khaner', 'Reiner Schwarz', 'David Bolt', 'Lally Cadeau', 'Henry Gomez', 'Harvey Chao', 'David Tsubouchi', 'Kay Hawtrey', 'Sam Malkin', 'Bob Church', 'Jayne Eastwood', 'Franciszka Hedland', 'David Cronenberg']",$,nan,$,3.86,$,https://letterboxd.com//film/videodrome/
Crash,$,1996,$,David Cronenberg,$,"['James Spader', 'Holly Hunter', 'Elias Koteas', 'Deborah Kara Unger', 'Rosanna Arquette', 'Peter MacNeill', 'Cheryl Swarts', 'Yolande Julian', 'Nicky Guadagni', 'Ronn Sarosiak', 'Boyd Banks', 'Judah Katz', 'Markus Parilo', 'Alice Poon', 'John Stoneham Jr.', 'David Cronenberg']",$,nan,$,3.62,$,https://letterboxd.com//film/crash/
Warrendale,$,1967,$,Allan King,$,['Martin Fischer'],$,nan,$,3.96,$,https://letterboxd.com//film/warrendale/
