Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
Memories of Underdevelopment,$,1968,$,Tomás Gutiérrez Alea,$,"['Sergio Corrieri', 'Daisy Granados', 'Eslinda Núñez', 'Omar Valdés', 'René de la Cruz', 'Yolanda Farr', 'Ofelia González', 'Jose Gil Abad', 'Daniel Jordan', 'Luis López', 'Rafael Sosa', 'Eduardo Casado Revuelta', 'René Depestre', 'Edmundo Desnoes', 'Pello el Afrokán']",$,nan,$,3.87,$,https://letterboxd.com//film/memories-of-underdevelopment/
The Harder They Come,$,1972,$,Perry Henzell,$,"['Jimmy Cliff', 'Janet Bartley', 'Carl Bradshaw', 'Ras Daniel Hartman', 'Basil Keane', 'Bob Charlton', 'Winston Stona', 'Lucia White', 'Volair Johnson', 'Beverly Anderson', 'Clover Lewis', 'Elijah Chambers', 'Prince Buster', ""Ed 'Bim' Lewis"", 'Bobby Loban', 'Joanne Dunn', 'Don Topping', 'Karl Leslie', 'Sandra Redwood', 'Ula Fraser', 'Carol Lawes', ""Aston 'Bam' Winter"", 'Toots Hibbert', 'Adrian Robinson']",$,nan,$,3.64,$,https://letterboxd.com//film/the-harder-they-come/
Now!,$,1965,$,Santiago Álvarez,$,['Lena Horne'],$,nan,$,3.88,$,https://letterboxd.com//film/now/
Portrait of Teresa,$,1979,$,Pastor Vega,$,"['Daisy Granados', 'Adolfo Llauradó', 'Alberto Molina', 'Idalia Anreus', 'Miguel Benavides', 'Samuel Claxton', 'Elsa Gay', 'Germán Pinelli', 'Raúl Pomares', 'Alina Sánchez']",$,nan,$,3.53,$,https://letterboxd.com//film/portrait-of-teresa/
Jean Gentil,$,2010,$,"Israel Cárdenas, Laura Amelia Guzmán",$,"['Jean Remy Genty', 'Yanmarco King Encarnación', 'Paul Henri Presumé', 'Nadal Walcott', 'Lys Ambroise']",$,nan,$,3.49,$,https://letterboxd.com//film/jean-gentil/
LBJ,$,1968,$,Santiago Álvarez,$,"['Lyndon B. Johnson', 'Martin Luther King Jr.', 'Stokely Carmichael']",$,nan,$,3.7,$,https://letterboxd.com//film/lbj/
Sugar Cane Alley,$,1983,$,Euzhan Palcy,$,"['Garry Cadenat', 'Darling Légitimus', 'Douta Seck', 'Joby Barnabé', 'Francisco Charles', 'Marie-Ange Farot']",$,nan,$,3.78,$,https://letterboxd.com//film/sugar-cane-alley/
Death of a Bureaucrat,$,1966,$,Tomás Gutiérrez Alea,$,"['Salvador Wood', 'Silvia Planas', 'Manuel Estanillo', 'Omar Alfonso', 'Gaspar De Santelices', 'Elsa Montero', 'Luis Romay', 'Carlos Ruiz de la Tejera', 'Richard Suarez', 'Alicia Bustamante']",$,nan,$,3.85,$,https://letterboxd.com//film/death-of-a-bureaucrat/
Lucia,$,1968,$,Humberto Solás,$,"['Raquel Revuelta', 'Eslinda Núñez', 'Adela Legrá', 'Eduardo Moure', 'Ramón Brito', 'Adolfo Llauradó', 'Idalia Anreus', 'Silvia Planas', 'Flora Lauten', 'Rogelio Blain', 'Maria Elena Molinet', 'Aramís Delgado', 'Teté Vergara', 'Flavio Calderín', 'Nelson Rodríguez']",$,nan,$,3.81,$,https://letterboxd.com//film/lucia/
Strawberry and Chocolate,$,1993,$,"Tomás Gutiérrez Alea, Juan Carlos Tabío",$,"['Jorge Perugorría', 'Vladimir Cruz', 'Mirta Ibarra', 'Francisco Gattorno', 'Joel Angelino', 'Marilyn Solaya', 'Andrés Cortina', 'Antonio Carmona', 'Ricardo Ávila', 'María Elena del Toro', 'Zolanda Oña', 'Diana Iris del Puerto']",$,nan,$,3.76,$,https://letterboxd.com//film/strawberry-and-chocolate/
One Way Ticket,$,1988,$,Agliberto Melendez,$,"['Carlos Alfredo', 'Horacio Veloz', 'Miguel Bucarelly', 'Victor Checo', 'Nini Germán', 'Ángel Muñiz', 'Félix Germán', 'Ángel Haché', 'Pepito Guerra', 'Rafael Villalona', 'Frank Lendor', 'Giovanny Cruz', 'Juan Maria Almonte', 'Delta Soto', 'Juan Karlos Mañón']",$,nan,$,3.52,$,https://letterboxd.com//film/one-way-ticket-1988/
Nueba Yol,$,1995,$,Ángel Muñiz,$,"['Luisito Marti', 'Alfonso Zayas', 'Caridad Ravelo', 'Raúl Carbonell Jr.', 'Rafael Villalona', 'Joel Garcia', 'Randolph Feliz', 'Bersaida Vega', 'Rosalba Rolón', 'Manny Gironny', 'Ledesma', 'Rafael Decena', 'Graciela Mas', 'Carlota Carretero', 'Fermín Suárez']",$,nan,$,3.27,$,https://letterboxd.com//film/nueba-yol/
The Adventures of Juan Quin Quin,$,1967,$,Julio García Espinosa,$,"['Julio Martínez', 'Erdwin Fernández', 'Adelaida Raymat', 'Enrique Santisteban', 'Agustín Campos', 'Blanca Contreras']",$,nan,$,3.38,$,https://letterboxd.com//film/the-adventures-of-juan-quin-quin/
The Last Supper,$,1976,$,Tomás Gutiérrez Alea,$,"['Nelson Villagra', 'Silvano Rey', 'Luis Alberto García', 'José Antonio Rodríguez', 'Samuel Claxton', 'Mario Balmaseda', 'Idelfonso Tamayo', 'Julio Hernandez', 'Tito Junco', 'Andrés Cortina', 'Mirta Ibarra', 'Manuel Puig', 'Elio Mesa', 'Francisco Borroto', 'Luis Salvador Romero', 'Leandro M. Espinosa']",$,nan,$,3.78,$,https://letterboxd.com//film/the-last-supper-1976/
The Virgin of Charity,$,1930,$,Ramón Peón,$,"['Miguel Santos', 'Diana Marde', 'Julio Gallo', 'Ramón Peón', 'Francisco Muñoz', 'Sergio Miro', 'Roberto Navarro', 'Matilde Maun']",$,nan,$,nan,$,https://letterboxd.com//film/the-virgin-of-charity/
El Salvador: The People Will Win,$,1980,$,Diego de la Texera,$,"['Chema', 'Haroldo', 'Valentín Hernández', 'Carlos Álvarez', 'Álvaro']",$,nan,$,nan,$,https://letterboxd.com//film/el-salvador-the-people-will-win/
Calixto the Landlord,$,2003,$,Sami Kafati,$,"['José Luis López', 'Saúl Toro', 'Daniel Vasquez', 'Marisela Bustillo', 'Eduardo Bähr']",$,nan,$,nan,$,https://letterboxd.com//film/calixto-the-landlord/
The Path,$,2007,$,Ishtar Yasin Gutiérrez,$,"['Sherlin Paola Velásquez', 'Marcos Ulises Jiménez', 'Juan Borda', 'Morena Guadalupe Espinoza', 'Cornelio Flores Meza', 'Germán Pomares', 'Jean-François Stévenin']",$,nan,$,nan,$,https://letterboxd.com//film/the-path-2007/
A Fish Out of Water,$,1969,$,José David Calderón,$,"['Isabel Dada', 'Gilda Lewin', 'Ernesto Merida']",$,nan,$,3.3,$,https://letterboxd.com//film/a-fish-out-of-water/
