Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
M,$,1931,$,Fritz Lang,$,"['Peter Lorre', 'Ellen Widmann', 'Inge Landgut', 'Otto Wernicke', 'Theodor Loos', 'Gustaf Gründgens', 'Friedrich Gnaß', 'Fritz Odemar', 'Paul Kemp', 'Theo Lingen', 'Rudolf Blümner', 'Georg John', 'Franz Stein', 'Ernst Stahl-Nachbaur', 'Gerhard Bienert', 'Karl Platen', 'Rosa Valetti', 'Hertha von Walther', 'Carl Ballhaus', 'Paul Mederow', 'Hadrian Maria Netto', 'Lucie Rhoden', 'Karl Hannemann']",$,nan,$,4.24,$,https://letterboxd.com//film/m/
Nosferatu,$,1922,$,F. W. Murnau,$,"['Max Schreck', 'Gustav von Wangenheim', 'Greta Schröder', 'Georg H. Schnell', 'Ruth Landshoff', 'Gustav Botz', 'Alexander Granach', 'John Gottowt', 'Max Nemetz', 'Wolfgang Heinz', 'Albert Venohr', 'Eric van Viele', 'Karl Etlinger', 'Guido Herzfeld', 'Hans Lanser-Rudolf', 'Loni Nest', 'Josef Sareny', 'Fanny Schreck', 'Hardy von Francois', 'Heinrich Witte']",$,nan,$,3.88,$,https://letterboxd.com//film/nosferatu/
Vampyr,$,1932,$,Carl Theodor Dreyer,$,"['Nicolas de Gunzburg', 'Maurice Schutz', 'Rena Mandel', 'Sybille Schmitz', 'Jan Hieronimko', 'Henriette Gérard', 'Albert Bras', 'N. Babanini', 'Jane Mora', 'Georges Boidin']",$,nan,$,3.76,$,https://letterboxd.com//film/vampyr/
"Aguirre, the Wrath of God",$,1972,$,Werner Herzog,$,"['Klaus Kinski', 'Helena Rojo', 'Del Negro', 'Ruy Guerra', 'Peter Berling', 'Cecilia Rivera', 'Daniel Ades', 'Edward Roland', 'Alexandra Cheves', 'Armando Polanah', 'Daniel Farfán', 'Julio E. Martínez', 'Alejandro Repullés', 'Claus Biederstaedt', 'Lothar Blumhagen', 'Heinz Theo Branding', 'Christian Brückner', 'Michael Chevalier', 'Norbert Gescher', 'Justo González', 'Uta Hallant', 'Manfred Lehmann', 'Antonio Marquez', 'Gerd Martienzen', 'Edgar Ott', 'Uwe Paulsen', 'Dieter Ranspach']",$,nan,$,4.05,$,https://letterboxd.com//film/aguirre-the-wrath-of-god/
Veronika Voss,$,1982,$,Rainer Werner Fassbinder,$,"['Rosel Zech', 'Hilmar Thate', 'Cornelia Froboess', 'Annemarie Düringer', 'Doris Schade', 'Erik Schumann', 'Elisabeth Volkmann', 'Armin Mueller-Stahl', 'Rainer Werner Fassbinder', 'Peter Berling', 'Günther Kaufmann', 'Sonja Neudorfer', 'Lilo Pempeit', 'Volker Spengler', 'Herbert Steinmetz', 'Hans Wyprächtiger', 'Peter Zadek', 'Johanna Hofer', 'Rudolf Platte', 'Harry Baer', 'Tamara Kafka', 'Georg Lehn', 'Juliane Lorenz', 'Peter Lühr', 'Dieter Schidor', 'Thomas Schühly', 'Karl-Heinz von Hassel']",$,nan,$,3.86,$,https://letterboxd.com//film/veronika-voss/
Under the Bridges,$,1946,$,Helmut Käutner,$,"['Hannelore Schroth', 'Carl Raddatz', 'Gustav Knuth', 'Margarete Haagen', 'Ursula Grabley', 'Hildegard Knef', 'Walter Gross', 'Klaus Pohl', 'Helene Westphal', 'Hildegard König', 'Erich Dunskus', 'Helmuth Helsig']",$,nan,$,3.85,$,https://letterboxd.com//film/under-the-bridges/
Metropolis,$,1927,$,Fritz Lang,$,"['Gustav Fröhlich', 'Brigitte Helm', 'Alfred Abel', 'Rudolf Klein-Rogge', 'Theodor Loos', 'Fritz Rasp', 'Erwin Biswanger', 'Heinrich George', 'Fritz Alberti', 'Grete Berger', 'Olly Boeheim', 'Heinrich Gotho', 'Gottfried Huppertz', 'Georg John', 'Margarete Lanner', 'Rose Lichtenstein', 'Hanns Leo Reich', 'Arthur Reinhardt', 'Curt Siodmak', 'Henrietta Siodmak', 'Olaf Storm', 'Rolf von Goth', 'Helen von Münchofen', 'Helene Weigel']",$,nan,$,4.18,$,https://letterboxd.com//film/metropolis/
Nosferatu the Vampyre,$,1979,$,Werner Herzog,$,"['Klaus Kinski', 'Isabelle Adjani', 'Bruno Ganz', 'Roland Topor', 'Walter Ladengast', 'Martje Grohmann', 'Carsten Bodinus', 'Beverly Walker', 'Jacques Dufilho', 'Clemens Scheitz', 'John Leddy', 'Rudolf Wolf', 'Štefan Husár', 'Lo van Hensbergen', 'Johan te Slaa', 'Jan Groth', 'Bo van Hensbergen', 'Claude Chiarini', 'Margiet van Hartingsveld', 'Tim Beekman', 'Roger Berry Losch', 'Rijk de Gooyer', 'Dan van Husen', 'Werner Herzog']",$,nan,$,3.82,$,https://letterboxd.com//film/nosferatu-the-vampyre/
The Blue Angel,$,1930,$,Josef von Sternberg,$,"['Emil Jannings', 'Marlene Dietrich', 'Kurt Gerron', 'Rosa Valetti', 'Hans Albers', 'Reinhold Bernt', 'Károly Huszár', 'Eduard von Winterstein', 'Hans Roth', 'Rolf Müller', 'Roland Varno', 'Carl Ballhaus', 'Robert Klein-Lörk', 'Wilhelm Diegelmann', 'Gerhard Bienert', 'Ilse Fürstenberg', 'Friedrich Hollaender', 'Wolfgang Staudte', 'Edith Kiel']",$,nan,$,3.76,$,https://letterboxd.com//film/the-blue-angel/
Stroszek,$,1977,$,Werner Herzog,$,"['Bruno S.', 'Eva Mattes', 'Clemens Scheitz', 'Wilhelm von Homburg', 'Burkhard Driest', 'Clayton Szalpinski', 'Ely Rodriguez', 'Alfred Edel', 'Scott McKain', 'Pitt Bedewitz', 'Ralph Wade', 'Michael Gahr', 'Vaclav Vojta', 'Yüksel Topcugürler']",$,nan,$,4.05,$,https://letterboxd.com//film/stroszek/
