Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
Yi Yi,$,2000,$,Edward Yang,$,"['Wu Nien-Jen', 'Issey Ogata', 'Elaine Jin', 'Kelly Lee', 'Jonathan Chang', 'Hsi-Sheng Chen', 'Kelly Ko', 'Tao Chuang Cheng', 'Shu-shen Hsiao', 'Adriene Lin', 'Pang Chang Yu', 'Ru-Yun Tang', 'Shu-Yuan Hsu', 'Hsin-Yi Tseng', 'Yung-Feng Lee', 'Shi-hui Chin', 'Wu Jie', 'Kuo-Chih Shu', 'Leon Dai', 'Mei-Yun Yu', 'Chi-Tung Yu', 'Lawrence Ko', 'Liang-Tso Liu', 'Li-Hua Chen', 'Yi-Wen Chen', 'Shau-Ching Sung', 'Luo Bei An', 'Antonio Lee', 'Danny Deng', 'Ray Fan', 'Chien-Hsiung Cheng', 'Cheng Yuan-Cheng', 'Ju-Yin Tsai', 'Jerry Sun', 'Tzu-chieh Miao', 'Tang Tsung Sheng', 'Wang Chi-tsan', 'Jianchang Li', 'Kenjiro Tsuda', 'Wei-Ning Wu', 'Hui-Ling Chang', 'Hsu Kuei-ying', 'Allen Lu', 'Shih-Ping Yang', 'Tzu-Yen Yeh', 'Cheryl Yang', 'Wan-Yun Lee', 'Hsiao-Wei Lin', 'Yiting Wu', 'Cheng-Kai Wang', 'Nien-Chu Hsieh', 'Shi-Chi Chen', 'Kuang-Ting Hsiang', 'Yen-Chun Lin', 'Hsin-yi Wen', 'An-yi Wen', 'Tzu-Ai Tsai', 'Yao-Wen Liu', 'Wei-Chun Wu', 'Szu-Chia Huang', 'Ming-Min Yeh', 'Yilian He', 'Katherine Lee', 'Tricia Chen', 'Christine Cheng', 'Fiona Chen', 'Cheng-Wan Pieh', 'Kate Yeung', 'Shih-hue Tu', 'Yu-Lung Yin', 'Lien-Lien Hsiao', 'Xianghua Ye', 'Sharon Mao', 'Liang-Hsin Hsieh', 'Mitsu Sudo', 'Kiyotaka Ueno', 'Norihiko Hashimoto', 'Christian Storms', 'Azusa Naito', 'Hui-Hui Chiang', 'Stephanie Michelle Lord', 'Morgan Reynolds', 'Tamara Robertson', 'Song-en Hu', 'Shou-yao Liu', 'Kai-Li Peng', 'Edward Yang']",$,nan,$,4.44,$,https://letterboxd.com//film/yi-yi/
A Brighter Summer Day,$,1991,$,Edward Yang,$,"['Chang Chen', 'Lisa Yang', 'Chang Kuo-Chu', 'Elaine Jin', 'Chuan Wang', 'Han Chang', 'Chiang Hsiu-Chiung', 'Stephanie Lai', 'Wang Chi-tsan', 'Lawrence Ko', 'Tan Chih-Kang', 'Chang Ming-Hsin', 'Jung Chun-Lung', 'Hui-Kuo Chou', 'Chi-Chung Liu', 'Ching-Hsiang Ho', 'Chang-Ta Tsai', 'Tsung-Ming Lee', 'Hsiao-Tsui Tang', 'Ming-Ying Chiang', 'Hung-Ming Lin', 'Wang Bosen', 'Hung-Yu Chen', 'Tien-Hsiang Yang', 'Hsiao-Wei Liao', 'Cheng-Ching Lin', 'Ming-Hsun Lee', 'Tai-song Chen', 'Ming-Che Lee', 'Ming-Che Lee', 'Yi-Cheng Chung', 'Chia-Hsien Ho', 'Kang-Nien Cheng', 'Hsien-Liang Hsu', 'Chih-Chien Tang', 'Chien-Hung Tseng', 'Yiwen Cao', 'Martin Liu', 'Yi-Chun Chang', 'Yuan Ling', 'Alex Yang', 'Ni Shu-Chun', 'Weiming Wang', 'Ye-Ming Wang', 'Chien-Hsiung Cheng', 'De-Hai Chu', 'Pei-Min Shih', 'Liang-Tso Liu', 'Hang Shen', 'Yang-Yeh Fu', 'Lee Ching-Foo', 'Yi-Wen Chen', 'Jen-Chieh Lin', 'Cheng Yuan-Cheng', 'Yi-Chin Tsai', 'Feng Guoqiang', 'Yu-Lung Yin', 'Hsu Ming', 'Chin Tsai', 'Cho Ming', 'Wen-Yen Chang', 'Lien-Lien Hsiao', 'Emily Y. Chang', 'King Shih-Chieh', 'Lih-Ching Lin', 'Ru-Yun Tang', 'Chiu-Yun Lu', 'Chin Ling Tsao', 'Chin Ling Tsao', 'Hsiao Chih-wen', 'Liang-Yueh Chen', 'Li-Hua Chen', 'Ko-Chung Chang', 'Te-Ming Lu', 'Hsiao Ai', 'Hsi-Sheng Chen', 'Shu-Chuan Huang', 'Hung-Shen Shen', 'Meng Chi-Liang', 'Hung Hung', 'Ting-Ni Ma', 'Hu Hsiang-Ping', 'Pao-Kuei Sun', 'Vicky Chiang', 'Ming-Yang Shih', 'Li-Mei Chen', 'Chen Shiang-Chyi', 'Te-Nan Lai', 'Ju-Ping Lin', 'Danny Deng', 'Ming-Yu Shih', 'Heng-Cheng Lin', 'Yi-Hua Shih', 'Kuo-Chih Shu', 'Chang-Ju Kuo', 'Miao-hui Kao', 'Chang-Hao Liu', 'Hsieh Chung-Mou', 'Chung-Chang Tuan', 'Te-chien Hou', 'Lang Tsu-Yun', 'Tang Shiang-Chu', 'Lai-Fu Chen', 'Min-Nen Lee', 'Yu Wei-Yen', 'Dao Nan Wang', 'Chuang Wu', 'Le-Chin Wu', 'Tzu-Chiang Lee', 'Liping Yang', 'Katherine Hui-ling Chou', 'Yuen Ming-Hung', 'Bo Yuan']",$,nan,$,4.43,$,https://letterboxd.com//film/a-brighter-summer-day/
Chungking Express,$,1994,$,Wong Kar-wai,$,"['Takeshi Kaneshiro', 'Brigitte Lin', 'Tony Leung Chiu-wai', 'Faye Wong', 'Valerie Chow', 'Piggy Chan Kam-Chuen', 'Kwan Lee-na', 'Wong Chi-Ming', 'Leung San', 'Rico Chu', 'Lynne Langdon', 'Vickie Eng', 'Thom Baker']",$,nan,$,4.27,$,https://letterboxd.com//film/chungking-express/
Terrorizers,$,1986,$,Edward Yang,$,"['Cora Miao', 'Lee Lichun', 'King Shih-Chieh', 'Wang An', 'Shaojun Ma', 'Yu An-Shun', 'Gu Bao-Ming', 'Ming Liu', 'Feng Kang Chu', 'Chonghua Ni', 'Chia-ching Huang', 'Shanqun Hong', 'Te-Ming Lu', 'Ming-Yang Shih', 'Zhiwen Xiao']",$,nan,$,4.07,$,https://letterboxd.com//film/terrorizers/
In the Mood for Love,$,2000,$,Wong Kar-wai,$,"['Tony Leung Chiu-wai', 'Maggie Cheung', 'Rebecca Pan', 'Kelly Lai Chen', 'Siu Ping-lam', 'Mama Hung', 'Joe Cheung Tung-cho', 'Kam-Wah Koo', 'Chan Man-Lei', 'Paulyn Sun', 'Roy Cheung', 'Julien Carbon', 'Laurent Courtiaud', 'Charles de Gaulle']",$,nan,$,4.37,$,https://letterboxd.com//film/in-the-mood-for-love/
The Goddess,$,1934,$,Wu Yonggang,$,"['Ruan Lingyu', 'Zhang Zhizhi', 'Tian Jian', 'Li Keng', 'Junpan Li', 'Huaiqiu Tang']",$,nan,$,3.84,$,https://letterboxd.com//film/the-goddess-1934/
Platform,$,2000,$,Jia Zhangke,$,"['Zhao Tao', 'Wang Hongwei', 'Liang Jingdong', 'Tian Yi Yang', 'Wang Bo', 'Han Sanming']",$,nan,$,4.01,$,https://letterboxd.com//film/platform/
Come Drink with Me,$,1966,$,King Hu,$,"['Cheng Pei-pei', 'Elliot Ngok', 'Chen Hung-Lieh', 'Yuen Siu-Tien', 'Mars', 'Lee Wan-Chung', 'Yang Chi-Ching', 'Shum Lo', 'Ku Feng', 'Han Ying-Chieh', 'Fung Ngai', 'Hao Li-Jen', 'Violet Pan Ying-Zi', 'Lily Li', 'Chin Chun', 'Leung Siu-Chung', 'Hsu Hsia', 'Cham Siu-Hung', 'Lai Yan', 'Pan Yaokun', 'Yeung Chun-Sing', 'Little Unicorn', 'Simon Chui Yee-Ang', 'Gwan Jing-Leung', 'Wu Ching-Li', 'Lee Siu-Pang', 'Wong Shing', 'Chiu Sam-Yin', 'Leung Lung', 'Ting Shan-Hsi', 'Wu Ho']",$,nan,$,3.73,$,https://letterboxd.com//film/come-drink-with-me/
To Live,$,1994,$,Zhang Yimou,$,"['Ge You', 'Gong Li', 'Niu Ben', 'Jiang Wu', 'Huang Zong Luo', 'Guo Tao', 'Ni Dahong', 'Liu Tianchi', 'Xiao Cong', 'Zhang Lu', 'Dong Fei', 'Liu Yanjin', 'Li Lianyi', 'Zhang Kang', 'Zhao Yuxiu', 'Sophie Su Yan', 'Ding Jianjun']",$,nan,$,4.2,$,https://letterboxd.com//film/to-live/
My Memories of Old Beijing,$,1983,$,Wu Yigong,$,"['Shen Jie', 'Zhang Feng Yi', 'Zheng Zhenyao', 'Zhang Min', 'Yan Xiang', 'Qin Yan', 'Hong Rong', 'Yuan Jiayi', 'Xu Caigen', 'Wenping Chong']",$,nan,$,3.73,$,https://letterboxd.com//film/my-memories-of-old-beijing/
Spring in a Small Town,$,1948,$,Mu Fei,$,"['Wei Wei', 'Yu Shi', 'Li Wei', 'Cui Chaoming', 'Zhang Hongmei']",$,nan,$,3.76,$,https://letterboxd.com//film/spring-in-a-small-town/
Green Snake,$,1993,$,Tsui Hark,$,"['Joey Wong', 'Maggie Cheung', 'Vincent Zhao', 'Wu Hsing-Guo', 'Ma Jingwu', 'Tien Feng', 'Chan Tung-Mui', 'Lau Kong', 'Shun Lau', 'Nagma', 'Sridevi']",$,nan,$,4.01,$,https://letterboxd.com//film/green-snake/
A Touch of Zen,$,1970,$,King Hu,$,"['Hsu Feng', 'Tien Peng', 'Roy Chiao', 'Shih Chun', 'Cho Kin', 'Miao Tien', 'Melvin Chang Yun-Wen', 'Sit Hon', 'Han Ying-Chieh', 'Pai Ying', 'Sammo Hung', 'Jackie Chan', 'Chang Ping-Yu', 'Chang Yi-Kuai', 'Yun Wen Chang', 'Shih Wei Chen', 'Wu Ming-Tsai', 'Jui Wang', 'Chung-Shan Wan', 'Mao Shan', 'Pan Yaokun', 'Lung Fei', 'You Pin Liu', 'Chu Liu', 'Lam Ching-Ying', 'Hao Li-Jen', 'Shan Mao', 'Kao Ming', 'Chia Lu-Shih', 'Men Chu-Hua', 'Billy Chan Wui-Ngai', 'Chan Ming-Wai', 'Kei Ho-Chiu', 'Joseph Yeung Sai-Gwan', 'Wan Chung-Shan']",$,nan,$,4.08,$,https://letterboxd.com//film/a-touch-of-zen/
Vive L'Amour,$,1994,$,Tsai Ming-liang,$,"['Lee Kang-sheng', 'Yang Kuei-Mei', 'Chen Chao-jung', 'Lu Yi-Ching']",$,nan,$,4.05,$,https://letterboxd.com//film/vive-lamour/
A Chinese Ghost Story,$,1987,$,Tony Ching Siu-Tung,$,"['Leslie Cheung', 'Joey Wong', 'Wu Ma', 'Lau Siu-Ming', 'David Lam Wai', 'Sit Chi-Lun', 'David Wu', 'Wong Jing', 'Chiang Kam', 'Huang Ha', 'Sze Mei-Yee', 'Yeung Yau-Cheung']",$,nan,$,3.68,$,https://letterboxd.com//film/a-chinese-ghost-story/
The One-Armed Swordsman,$,1967,$,Chang Cheh,$,"['Jimmy Wang Yu', 'Lisa Chiao Chiao', 'Tien Feng', 'Violet Pan Ying-Zi', 'Yang Chi-Ching', 'Tang Ti', 'Fan Mei-Sheng', 'Wong Sai-Git', 'Fan Dan', 'Ku Feng', 'Chen Yanyan', 'Huang Tsung-Hsun', 'Cheng Lui', 'Chieh Yuen', 'Wang Kuang-Yu', 'Tong Kai', 'Lau Kar-leung', 'Hao Li-Jen', 'Chao Hsiung', 'Lau Gong', 'Cliff Lok', 'Chang Pei-Shan', 'Yuen Woo-ping']",$,nan,$,3.7,$,https://letterboxd.com//film/the-one-armed-swordsman/
Yellow Earth,$,1984,$,Chen Kaige,$,"['Wang Xueqi', 'Xue Bai', 'Tuo Tan', 'Quiang Liu']",$,nan,$,3.62,$,https://letterboxd.com//film/yellow-earth/
Raining in the Mountain,$,1979,$,King Hu,$,"['Hsu Feng', 'Sun Yueh', 'Tung Lam', 'Tien Feng', 'Chen Hui-Lou', 'Paul Chun', 'Shih Chun', 'Wu Ming-Tsai', 'Lin Tung', 'Chin Pei', 'Su Han', 'Wen Tai Li', 'Chin-Ku Lu', 'Wu Chia-Hsiang']",$,nan,$,3.88,$,https://letterboxd.com//film/raining-in-the-mountain/
A City of Sadness,$,1989,$,Hou Hsiao-hsien,$,"['Tony Leung Chiu-wai', 'Hsin Shu-Fen', 'Chan Chung-Yung', 'Jack Kao', 'Tai Bo', 'Li Tian-Lu', 'Grace Chen Shu-Fang', 'Wu Nien-Jen', 'Tsai Chen-Nan', 'King Shih-Chieh', 'Kelly Ko', 'Wou Yi Fang', 'Chi-Ying Kao', 'Ho Ai-Yun', 'Huang Chien-ru', 'Ju Lin', 'Lih-Ching Lin', 'Ching Lu', 'Ikuyo Nakamura', 'Mei Fang', 'Zhang Dachun']",$,nan,$,4.11,$,https://letterboxd.com//film/a-city-of-sadness/
Happy Together,$,1997,$,Wong Kar-wai,$,"['Tony Leung Chiu-wai', 'Leslie Cheung', 'Chang Chen', 'Gregory Dayton', 'Wong Man-Chun', 'Ho Chi-Moon', 'Law Shu-Kei', 'Shirley Kwan']",$,nan,$,4.18,$,https://letterboxd.com//film/happy-together-1997/
