Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
Pather Panchali,$,1955,$,Satyajit Ray,$,"['Subir Banerjee', 'Uma Das Gupta', 'Karuna Banerjee', 'Kanu Bannerjee', 'Chunibala Devi', 'Runki Banerjee', 'Reba Devi', 'Aparna Devi', 'Tulsi Chakraborty', 'Haren Banerjee', 'Rampada Das', 'Nibhanani Devi', 'Rama Gangopadhaya', 'Roma Ganguli', 'Binoy Mukherjee', 'Haridhan Nag', 'Harimohan Nag', 'Kshirod Roy', 'Suren Roy']",$,nan,$,4.27,$,https://letterboxd.com//film/pather-panchali/
Charulata,$,1964,$,Satyajit Ray,$,"['Soumitra Chatterjee', 'Madhabi Mukherjee', 'Shailen Mukherjee', 'Shyamal Ghoshal', 'Gitali Roy', 'Tarapada Basu', 'Gopaldas Bhattacharya', 'Dilip Bose', 'Ramesh Chandra Chandra', 'Sunilkanta Dasgupta', 'Nilotpal Dey', 'Bankim Ghosh', 'Ajit Gupta', 'Bholanath Koyal', 'Kamu Mukherjee', 'Suku Mukherjee', 'Prabhat Sarkar', 'Subrata Sensharma']",$,nan,$,4.14,$,https://letterboxd.com//film/charulata/
Ajantrik,$,1958,$,Ritwik Kumar Ghatak,$,"['Kali Bannerjee', 'Gangapada Basu', 'Satindra Bhattacharya', 'Tulsi Chakraborty', 'Anil Chatterjee', 'Shriman Deepak', 'Kajal Gupta', 'Gyanesh Mukherjee', 'Keshto Mukherjee', 'Sita Mukherjee']",$,nan,$,3.83,$,https://letterboxd.com//film/ajantrik/
The Cloud-Capped Star,$,1960,$,Ritwik Kumar Ghatak,$,"['Supriya Choudhury', 'Anil Chatterjee', 'Gyanesh Mukherjee', 'Bijon Bhattacharya', 'Gita Dey', 'Gita Ghatak', 'Dwiju Bhawal', 'Niranjan Ray', 'Ranen Ray Choudhury', 'Abhi Bhattacharya']",$,nan,$,4.04,$,https://letterboxd.com//film/the-cloud-capped-star/
Donkey in a Brahmin Village,$,1977,$,John Abraham,$,"['M. B. Sreenivasan', 'Swathi', 'S. Gopal', 'Krishnaraj', 'Sri Lalitha', 'Savithri Rajan', 'Raman Veeraraghavan']",$,nan,$,3.86,$,https://letterboxd.com//film/donkey-in-a-brahmin-village/
Duvidha,$,1973,$,Mani Kaul,$,"['Ravi Menon', 'Raisa Padamsee', 'Hardan', 'Manohar Lalas', 'Bhola Ram', 'Kana Ram', 'Shambhudan']",$,nan,$,3.85,$,https://letterboxd.com//film/duvidha/
Pyaasa,$,1957,$,Guru Dutt,$,"['Guru Dutt', 'Waheeda Rehman', 'Mala Sinha', 'Johnny Walker', 'Rehman', 'Kumkum', 'Leela Mishra', 'Shyam Kapoor', 'Mehmood', 'Radheshyam', 'Tun Tun', 'Maya Dass', 'Moni Chatterjee', 'Ashita', 'Neel Kamal', 'Mohan Sandow', 'Rajendra']",$,nan,$,4.22,$,https://letterboxd.com//film/pyaasa/
Maya Darpan,$,1972,$,Kumar Shahani,$,"['Aditi', 'Anil Pandya', 'Kanta Vyas', 'Iqbalnath Kaul']",$,nan,$,3.68,$,https://letterboxd.com//film/maya-darpan/
Apur Sansar,$,1959,$,Satyajit Ray,$,"['Soumitra Chatterjee', 'Sharmila Tagore', 'Alok Chakravarty', 'Swapan Mukherjee', 'Dhiresh Majumdar', 'Sefalika Devi', 'Dhiren Ghosh', 'Shanti Bhattacherjee', 'Abhijit Chatterjee', 'Belarani Devi', 'Jogesh Chatterjee', 'Tushar Bandyopadhyay', 'Gupi Banerjee', 'Panchanan Bhattacharya', 'Jiten Bhons', 'Asha Devi', 'Bechu Singha']",$,nan,$,4.33,$,https://letterboxd.com//film/apur-sansar/
Siddheshwari,$,1990,$,Mani Kaul,$,"['Malviya', 'Muhar Biswas', 'Pandit Narayan Misra', 'Shravani Mukherjee', 'Ranjana Srivastava', 'Mita Vasisht', 'Anoop Misra', 'Raman Shankar Pandy']",$,nan,$,3.85,$,https://letterboxd.com//film/siddheshwari/
A River Called Titas,$,1973,$,Ritwik Kumar Ghatak,$,"['Fakrul Hasan Bairagi', 'Narain Chakraborty', 'Kabari Choudhury', 'Sirajul Islam', 'Shafikul Islam', 'Ritwik Kumar Ghatak', 'M.A. Khair', 'Prabir Mitra', 'Golam Mustafa', 'Sufia Rustam', 'Rosy Samad', 'Rani Sarkar', 'Rawshan Zamil']",$,nan,$,3.7,$,https://letterboxd.com//film/a-river-called-titas/
Subarnarekha,$,1965,$,Ritwik Kumar Ghatak,$,"['Madhabi Mukherjee', 'Satindra Bhattacharya', 'Abhi Bhattacharya', 'Gita Dey', 'Bijon Bhattacharya', 'Indrani Chakrabarty', 'Abanish Banerjee', 'Shyamal Ghoshal', 'Arun Chowdhury', 'Pitambar', 'Ranen Ray Choudhury', 'Jahar Roy', 'Umanath Bhattacharya', 'Radha Govinda Ghosh', 'Ashok Bhattacharya', 'Sita Mukherjee', 'Ritwik Kumar Ghatak']",$,nan,$,3.86,$,https://letterboxd.com//film/subarnarekha/
Kummatty,$,1979,$,Govindan Aravindan,$,"['Ramunni', 'Master Ashokan', 'Shanker', 'Vakkil', 'Sivasankaran Divakaran', 'Kuttyedathi Vilasini']",$,nan,$,4.05,$,https://letterboxd.com//film/kummatty/
Devi,$,1960,$,Satyajit Ray,$,"['Sharmila Tagore', 'Soumitra Chatterjee', 'Chhabi Biswas', 'Karuna Banerjee', 'Purnendu Mukherjee', 'Arpan Chowdhury', 'Anil Bag', 'Khagesh Chakravarti', 'Anil Chatterjee', 'Arabinda Kumar Chowdhury', 'Shanta Devi', 'Mohammed Israil', 'Nagendranath Kabyabyakarantirtha', 'Bholanath Koyal', 'Anil Mitra', 'Tarapada Nandy', 'Kali Sarkar']",$,nan,$,3.94,$,https://letterboxd.com//film/devi/
27 Down,$,1974,$,Awtar Krishna Kaul,$,"['Rakhee Gulzar', 'M. K. Raina', 'Om Shivpuri', 'Rekha Sabnis', 'Nilesh Vellani', 'Sudhir Dalvi', 'Sadhu Meher']",$,nan,$,3.71,$,https://letterboxd.com//film/27-down/
