Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
Sansho the Bailiff,$,1954,$,Kenji Mizoguchi,$,"['Kinuyo Tanaka', 'Yoshiaki Hanayagi', 'Kyōko Kagawa', 'Eitarō Shindō', 'Akitake Kôno', 'Masahiko Tsugawa', 'Keiko Enami', 'Masao Shimizu', 'Ken Mitsuda', 'Kazukimi Okuni', 'Yōko Kozono', 'Noriko Tachibana', 'Ichirō Sugai', 'Teruko Omi', 'Chieko Naniwa', 'Kikue Mōri', 'Ryōsuke Kagawa', 'Kanji Koshiba', 'Shinobu Araki', 'Reiko Kongō', 'Shōzō Nanbu', 'Ryônosuke Azuma', 'Sumao Ishihara', 'Yukio Horikita', 'Jun Fujikawa', 'Sôji Shibata', 'Akira Shimizu', 'Midori Komatsu', 'Tokio Oki', 'Akira Shiga', 'Saburo Date', 'Goro Nakanishi', 'Ichirô Amano', 'Hachiro Okuni', 'Akiyoshi Kikuno']",$,nan,$,4.3,$,https://letterboxd.com//film/sansho-the-bailiff/
Ugetsu,$,1953,$,Kenji Mizoguchi,$,"['Machiko Kyō', 'Mitsuko Mito', 'Kinuyo Tanaka', 'Masayuki Mori', 'Eitarō Ozawa', 'Sugisaku Aoyama', 'Mitsusaburō Ramon', 'Ryōsuke Kagawa', 'Kichijirô Ueda', 'Shōzō Nanbu', 'Kikue Mōri', 'Ryūzaburō Mitsuoka', 'Ichirô Amano', 'Eigorô Onoe', 'Saburo Date', 'Fumihiko Yokoyama', 'Ichisaburo Sawamura', 'Koji Murata', 'Yukio Horikita', 'Akira Shimizu', 'Shuntaro Tamamura', 'Shirō Osaki', 'Toshio Chiba', 'Hachiro Okuni', 'Shirô Miura', 'Hajime Koshikawa', 'Tetsu Mikami', 'Jun Fujikawa', 'Takaji Fukui', 'Eiji Ishikura', 'Tokurin Takeda', 'Koji Kanda', 'Masayoshi Kikuno', 'Michio Yuri', 'Sô Funagami', 'Shigeru Hasegawa', 'Teruko Omi', 'Keiko Koyanagi', 'Masako Tomura', 'Tokiko Mita', 'Tokuko Ueda', 'Sachiko Soma', 'Reiko Kongō', 'Ikkei Tamaki']",$,nan,$,4.17,$,https://letterboxd.com//film/ugetsu/
Woman in the Dunes,$,1964,$,Hiroshi Teshigahara,$,"['Eiji Okada', 'Kyōko Kishida', 'Hiroko Itō', 'Kōji Mitsui', 'Sen Yano', 'Ginzô Sekiguchi']",$,nan,$,4.35,$,https://letterboxd.com//film/woman-in-the-dunes/
Tokyo Story,$,1953,$,Yasujirō Ozu,$,"['Chishū Ryū', 'Chieko Higashiyama', 'Setsuko Hara', 'Haruko Sugimura', 'Sō Yamamura', 'Kuniko Miyake', 'Kyōko Kagawa', 'Eijirō Tōno', 'Nobuo Nakamura', 'Shirō Ōsaka', 'Hisao Toake', 'Teruko Nagaoka', 'Mutsuko Sakura', 'Toyo Takahashi', 'Tōru Abe', 'Sachiko Mitani', 'Ryōko Mizuki', 'Keijirô Morozumi', 'Shozo Suzuki', 'Haruko Chichibu', 'Takashi Miki', 'Toshinosuke Nagao', 'Zen Murase', 'Mitsuhiro Môri', 'Yoshiko Togawa', 'Fumio Tooyama']",$,nan,$,4.35,$,https://letterboxd.com//film/tokyo-story/
Ornamental Hairpin,$,1941,$,Hiroshi Shimizu,$,"['Kinuyo Tanaka', 'Hiroko Kawasaki', 'Tatsuo Saitō', 'Chishū Ryū', 'Shinichi Himori', 'Hideko Mimura', 'Kanji Kawahara', 'Jun Yokoyama', 'Masayoshi Otsuka', 'Takeshi Sakamoto', 'Koji Matsumoto', 'Munenobu Yui', 'Tsuneo Osugi', 'Kayoko Terada']",$,nan,$,3.78,$,https://letterboxd.com//film/ornamental-hairpin/
Throne of Blood,$,1957,$,Akira Kurosawa,$,"['Toshirō Mifune', 'Isuzu Yamada', 'Takashi Shimura', 'Akira Kubo', 'Hiroshi Tachikawa', 'Minoru Chiaki', 'Takamaru Sasaki', 'Gen Shimizu', 'Kokuten Kōdō', 'Kichijirô Ueda', 'Eiko Miyoshi', 'Chieko Naniwa', 'Nakajirô Tomita', 'Yū Fujiki', 'Sachio Sakai', 'Shin Ôtomo', 'Yoshio Tsuchiya', 'Yoshio Inaba', 'Takeo Oikawa', 'Akira Tani', 'Ikio Sawamura', 'Yutaka Sada', 'Seijirô Onda', 'Shinpei Takagi', 'Masao Masuda', 'Mitsuo Asano', 'Akifumi Inoue', 'Asao Koike', 'Takeshi Katō', 'Noriko Hidaka', 'Michiya Higuchi', 'Senkichi Ômura', 'Gorô Sakurai', 'Shirō Tsuchiya', 'Takeo Matsushita', 'Jun Ôtomo', 'Kamayuki Tsubono', 'Fuminori Ôhashi', 'Isao Kimura', 'Seiji Miyaguchi', 'Nobuo Nakamura']",$,nan,$,4.18,$,https://letterboxd.com//film/throne-of-blood/
Harakiri,$,1962,$,Masaki Kobayashi,$,"['Tatsuya Nakadai', 'Akira Ishihama', 'Shima Iwashita', 'Tetsurō Tamba', 'Masao Mishima', 'Ichirô Nakatani', 'Kei Satō', 'Yoshio Inaba', 'Hisashi Igawa', 'Tōru Takeuchi', 'Yoshirô Aoki', 'Tatsuo Matsumura', 'Akiji Kobayashi', 'Kôichi Hayashi', 'Ryûtarô Gomi', 'Jo Azumi', 'Nakajirô Tomita', 'Shichisaburo Amatsu', 'Kenzô Tanaka', 'Shin Nakahara', 'Tsuneo Ikeda', 'Minoru Miyagi', 'Takaaki Kadota', 'Ichiro Yamamoto', 'Gen Takasugi', 'Satoshi Nishida', 'Tetsuro Komiyama', 'Shûichirô Narita', 'Noboru Kasuga', 'Shinpachi Kura', 'Kenji Hayashi', 'Shôtarô Hayashi', 'Shimezo Kataoka', 'Bunya Ozawa', 'Konosuke Takemoto', 'Rentaro Mikuni']",$,nan,$,4.55,$,https://letterboxd.com//film/harakiri/
Seven Samurai,$,1954,$,Akira Kurosawa,$,"['Toshirō Mifune', 'Takashi Shimura', 'Yoshio Inaba', 'Seiji Miyaguchi', 'Minoru Chiaki', 'Daisuke Katō', 'Isao Kimura', 'Keiko Tsushima', 'Yukiko Shimazaki', 'Kamatari Fujiwara', 'Yoshio Kosugi', 'Bokuzen Hidari', 'Yoshio Tsuchiya', 'Kokuten Kōdō', 'Eijirō Tōno', 'Jun Tatara', 'Atsushi Watanabe', 'Toranosuke Ogawa', 'Isao Yamagata', 'Kichijirô Ueda', 'Sôjin Kamiyama', 'Gen Shimizu', 'Keiji Sakakida', 'Shinpei Takagi', 'Shin Ôtomo', 'Toshio Takahara', 'Hiroshi Sugi', 'Hiroshi Hayashi', 'Sachio Sakai', 'Sôkichi Maki', 'Ichirô Chiba', 'Noriko Sengoku', 'Noriko Honma', 'Masanobu Ôkubo', 'Etsuo Saijo', 'Minoru Itô', 'Haruya Sakamoto', 'Gorô Sakurai', 'Hideo Shibuya', 'Kiyoshi Kamoda', 'Senkichi Ômura', 'Takashi Narita', 'Shôichi Hirose', 'Kôji Uno', 'Masaaki Tachibana', 'Kamayuki Tsubono', 'Taiji Naka', 'Chindanji Miyagawa', 'Shigemi Sunagawa', 'Akira Tani', 'Akio Kusama', 'Ryûtarô Amami', 'Jun Mikami', 'Haruo Nakajima', 'Sanpei Mine', 'Masahide Matsushita', 'Kaneo Ikeda', 'Takuzô Kumagaya', 'Ippei Kawagoe', 'Jirô Suzukawa', 'Junpei Natsuki', 'Kyôichi Kamiyama', 'Haruo Suzuki', 'Gorô Amano', 'Akira Kitchôji', 'Kōji Iwamoto', 'Hiroshi Akitsu', 'Akira Yamada', 'Kazuo Imai', 'Eisuke Nakanishi', 'Toku Ihara', 'Hideo Ôtsuka', 'Shû Ôe', 'Yasuhisa Tsutsumi', 'Yasumasa Ônishi', 'Tsuneo Katagiri', 'Megeru Shimoda', 'Masayoshi Kawabe', 'Shigeo Katô', 'Yoshikazu Kawamata', 'Takeshi Seki', 'Haruko Toyama', 'Tsuruko Mano', 'Matsue Ono', 'Tsurue Ichimanji', 'Masako Ôshiro', 'Kyôko Ozawa', 'Michiko Kadono', 'Toshiko Nakano', 'Shizuko Azuma', 'Michiko Kawabe', 'Yûko Togawa', 'Yayoko Kitano', 'Kyoko Mori', 'Misao Suyama', 'Toriko Takahara', 'Takeshi Katō', 'Tatsuya Nakadai', 'Ken Utsui', 'Ren Yamamoto']",$,nan,$,4.51,$,https://letterboxd.com//film/seven-samurai/
An Autumn Afternoon,$,1962,$,Yasujirō Ozu,$,"['Chishū Ryū', 'Shima Iwashita', 'Keiji Sada', 'Mariko Okada', 'Teruo Yoshida', 'Noriko Maki', 'Shinichirô Mikami', 'Nobuo Nakamura', 'Eijirō Tōno', 'Kuniko Miyake', 'Kyōko Kishida', 'Ryuji Kita', 'Toyo Takahashi', 'Shinobu Asaji', 'Masao Oda', 'Fujio Suga', 'Zenichi Inagawa', 'Daisuke Katō', 'Haruko Sugimura', 'Michiyo Tamaki', 'Matsuko Shiga', 'Tami Yamamoto', 'Kentarô Imai', 'Yoshikazu Inagawa', 'Hisayo Komachi']",$,nan,$,4.16,$,https://letterboxd.com//film/an-autumn-afternoon/
Humanity and Paper Balloons,$,1937,$,Sadao Yamanaka,$,"['Chôjûrô Kawarasaki', ""Kan'emon Nakamura"", 'Shizue Kawarazaki', 'Noboru Kiritachi', 'Tsuruzo Nakamura', 'Sukezô Sukedakaya', 'Kikunojo Segawa', 'Chôemon Bandô', 'Emitaro Ichikawa', 'Takako Misaki', 'Kikunosuke Ichikawa', 'Daisuke Katō', 'Rakusaburô Ichikawa', 'Toshio Arashi', 'Kozaburo Nakamura']",$,nan,$,3.86,$,https://letterboxd.com//film/humanity-and-paper-balloons/
