Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
Memories of Murder,$,2003,$,Bong Joon-ho,$,"['Song Kang-ho', 'Kim Sang-kyung', 'Kim Roi-ha', 'Song Jae-ho', 'Byun Hee-bong', 'Go Seo-hee', 'Ryu Tae-ho', 'Park No-shik', 'Park Hae-il', 'Jeon Mi-seon', 'Seo Young-hwa', 'Woo Go-na', 'Choi Jong-ryul', 'Yoo Seung-mok', 'Shin Hyun-jong', 'Jung In-sun', 'Lee Jae-eung', 'Kwon Byung-gil', 'Park Hyun-young', 'Yoon Ga-hyun', 'Kwon Hyeok-Pung', 'Jo Deok-jae', 'Jo Moon-ee', 'Baek Bong-ki', 'Kim Joo-ryoung', 'Yeom Hye-ran', 'Park Jin-woo', 'Lee Dong-yong', 'Oh Yong', 'Son Jin-hwan', 'Park Tae-kyeong', 'Son Kang-gook', 'Son Jin-ho', 'Shin Woon-seob', 'Ha-kyeong Kim', 'Lee Da-il', 'Shim Sung-bo', 'Lee Kang-san']",$,nan,$,4.31,$,https://letterboxd.com//film/memories-of-murder/
The Host,$,2006,$,Bong Joon-ho,$,"['Song Kang-ho', 'Byun Hee-bong', 'Park Hae-il', 'Bae Doona', 'Ko A-sung', 'Oh Dal-su', 'Lee Jae-eung', 'Lee Dong-ho', 'Yoon Je-moon', 'Yim Pil-sung', 'Kim Roi-ha', 'Koh Soo-hee', 'Kim Hak-sun', 'Scott Wilson', 'Brian Rhee', 'Paul Lazar', 'David Anselmo', 'Baek Do-bin', 'Martin Lord Cayce', 'Choi Dae-sung', 'Choi Doo-yeong', 'Choi Jae-sup', 'Jung Seo-yoon', 'Philip Hersh', 'Jeong In-gi', 'Jeong Hyeong-Ho', 'Ji Ha-geon', 'Jung Kang-hee', 'Kim Bi-bi', 'Kim Choo-wol', 'Kim Da-yeon', 'Kim Hyo-sun', 'Kim Jin-seon', 'Kim Nan-hee', 'Kim Sang-jo', 'Kwon Bang-hyeon', 'Kwon Byung-gil', 'Kwon Hyeok-Pung', 'Lee Dong-yong', 'Lee Eung-jae', 'Lee Hoon-jin', 'Lee Jong-yoon', 'Lee Seung-jin', 'Min Kyung-jin', 'Moon Hee-ra', 'Clinton Morgan', 'Park Jeong-gi', 'Park Kyeong-mok', 'Park No-shik', 'Ra Mi-ran', 'Seo Ha-neul', 'Shin Seung-ri', 'Shin Hyun-jong', 'Son Young-soon', 'Son Jin-ho', 'Song Kyeong-ha', 'Yoo Seung-mok', 'Yoo Yeon-soo', 'Seo Young-ju', 'Ko Chang-seok', 'Park Jin-woo']",$,nan,$,3.71,$,https://letterboxd.com//film/the-host/
The Day He Arrives,$,2011,$,Hong Sang-soo,$,"['Yu Jun-sang', 'Kim Sang-joong', 'Song Sun-mi', 'Kim Bo-kyung', 'Kim Eui-sung', 'Baek Jong-hak', 'Ki Joo-bong', 'Bek Hyun-jin', 'Ko Hyun-jung', 'Ahn Jae-hong', 'Bae Yoo-ram']",$,nan,$,3.76,$,https://letterboxd.com//film/the-day-he-arrives/
Mandala,$,1981,$,Im Kwon-taek,$,"['Jeon Moo-song', 'Ahn Sung-ki', 'Gi Jeong-su', 'Bang Hee', 'Yun Yang-ha']",$,nan,$,3.8,$,https://letterboxd.com//film/mandala-1981/
On the Occasion of Remembering the Turning Gate,$,2002,$,Hong Sang-soo,$,"['Kim Sang-kyung', 'Chu Sang-mi', 'Ye Ji-won', 'Kim Hak-sun', 'Ahn Kil-kang', 'Kim Choo-wol', 'George Georgiou', 'Jun Guk-hyang', 'Shin Hyun-jong']",$,nan,$,3.85,$,https://letterboxd.com//film/on-the-occasion-of-remembering-the-turning-gate/
The Seaside Village,$,1965,$,Kim Soo-yong,$,"['Shin Young-kyun', 'Lee Min-ja', 'Hwang Jung-seun', 'Jeon Gye-hyeon', 'Lee Nak-hoon', 'Cho Yong-soo', 'Kim Jeong-ok', 'Jeon Ok', 'Jeong Deuk-sun', 'Mun Mi-bong', 'Chu Bong', 'Park Cheol', 'Yoon Yang-ha', 'Seok Un-a', 'Yun Sin-ok', 'Shin Sang-geun', 'Kim Su-yeon', 'Ko Eun-ah']",$,nan,$,3.42,$,https://letterboxd.com//film/the-seaside-village/
Tale of Cinema,$,2005,$,Hong Sang-soo,$,"['Kim Sang-kyung', 'Uhm Ji-won', 'Lee Ki-woo', 'Son Sook', 'Lee Kyung-jin', 'Kim Myung-soo', 'Jo Han-chul', 'Choi Moo-sung', 'Min Young']",$,nan,$,3.67,$,https://letterboxd.com//film/tale-of-cinema/
Virgin Stripped Bare by Her Bachelors,$,2000,$,Hong Sang-soo,$,"['Lee Eun-ju', 'Moon Sung-keun', 'Jeong Bo-seok', 'Lee Hwang-eui', 'Kim Young-dae', 'Park Mi-hyeon', 'Cho Won-hee', 'Jeong Ho bung', 'Chae Yong-byeong', 'Jo Ryeon', 'Song Mi-jeong', 'Gu Gyeong-eun', 'Mun Hong-sik', 'Kim So-jeong', 'Im Gyeong-mi', 'Jeong Yu-min', 'Kim Kyoung-man', 'Jo Moon Eui', 'Lee Sung-jin', 'Choe Seong-suk']",$,nan,$,3.6,$,https://letterboxd.com//film/virgin-stripped-bare-by-her-bachelors/
Ha Ha Ha,$,2010,$,Hong Sang-soo,$,"['Kim Sang-kyung', 'Yu Jun-sang', 'Moon So-ri', 'Ye Ji-won', 'Kim Kang-woo', 'Youn Yuh-jung', 'Kim Gyu-ri', 'Ki Joo-bong', 'Kim Young-ho']",$,nan,$,3.61,$,https://letterboxd.com//film/ha-ha-ha-2010/
Poetry,$,2010,$,Lee Chang-dong,$,"['Yoon Jeong-hee', 'Lee Da-wit', 'Kim Hee-ra', 'Ahn Nae-sang', 'Kim Yong-taek', 'Park Myung-shin', 'Jang Hye-jin', 'Kim Nam-jin', 'Kim Jong-goo', 'Kim Hye-jung', 'Min Bok-gi', 'Kim Ja-young', 'Kim Gye-sun', 'Kim Eun-yeong', 'Choi Moon-soon', 'Park Hyun-woo']",$,nan,$,4.1,$,https://letterboxd.com//film/poetry/
