Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
Distant,$,2002,$,Nuri Bilge Ceylan,$,"['Muzaffer Özdemir', 'Mehmet Emin Toprak', 'Nazan Kesal', 'Zuhal Gencer', 'Feridun Koç', 'Fatma Ceylan']",$,nan,$,3.88,$,https://letterboxd.com//film/distant/
The Dupes,$,1973,$,Tawfiq Saleh,$,"['Mohamed Kheir-Halouani', 'Abderrahman Alrahy', 'Bassan Lofti Abou-Ghazala', 'Saleh Kholoki', 'Thanaa Debsi']",$,nan,$,3.89,$,https://letterboxd.com//film/the-dupes/
Once Upon a Time in Anatolia,$,2011,$,Nuri Bilge Ceylan,$,"['Muhammet Uzuner', 'Yılmaz Erdoğan', 'Taner Birsel', 'Ahmet Mümtaz Taylan', 'Fırat Tanış', 'Ercan Kesal', 'Cansu Demirci', 'Erol Eraslan', 'Murat Kılıç', 'Şafak Karali', 'Emre Şen', 'Nihan Okutucu', 'Kubilay Tunçer', 'Salih Ünal', 'Aziz İzzet Biçici', 'Celal Acaralp', 'Mehmet Eren Topçak', 'Ufuk Karali', 'Fevzi Müftüoğlu', 'Turgay Kürkçü', 'Fatih Ereli', 'Hüseyin Bekeç', 'Mehmet Öztürk', 'Uğur Arslanoğlu', 'Burhan Yıldız']",$,nan,$,4.18,$,https://letterboxd.com//film/once-upon-a-time-in-anatolia/
Egg,$,2007,$,Semih Kaplanoğlu,$,"['Saadet Işıl Aksoy', 'Nejat İşler', 'Ufuk Bayraktar', 'Tülin Özen', 'Gülçin Santırcıoğlu', 'Kaan Karabacak', 'Semra Kaplanoglu']",$,nan,$,3.4,$,https://letterboxd.com//film/egg/
Paradise Now,$,2005,$,Hany Abu-Assad,$,"['Ali Soliman', 'Amer Hlehel', 'Hiam Abbass', 'Ashraf Barhom', 'Mohamed Bustami', 'Lubna Azabal', 'Qais Nashif']",$,nan,$,3.68,$,https://letterboxd.com//film/paradise-now/
The Confession,$,2001,$,Zeki Demirkubuz,$,"['Taner Birsel', 'Başak Köklükaya', 'İskender Altın', 'Miraç Eronat', 'Gülgün Kutlu', 'Sinan Adiyaman', 'Apo Demirkubuz', 'Bal Ertürk', 'Serdar Günaydin', 'Cafer Güngör', 'Tülay Koluçolak']",$,nan,$,3.3,$,https://letterboxd.com//film/the-confession-2001-1/
Late Marriage,$,2001,$,Dover Koshashvili,$,"['Lior Ashkenazi', 'Ronit Elkabetz', 'Moni Moshonov', 'Lili Koshashvili', 'Aya Steinovitz', 'Rosina Kambus', 'Simon Chen', 'Sapir Kugman', 'Dina Doron', 'Leonid Kanevskiy', 'Libia Hakmon', 'Eli Turi', 'Maria Ovanov', 'Orit Buchnik Sher', 'Reuven Dayan', 'Rivka Gur', 'Ana Feinstein', 'Zuri Botrashvilli', 'Nana Dvir', 'Bachur Gene', 'Michael Moshonov', 'Rotem Zoler', 'Liza Turikashvilli', 'Nethanel Bitan']",$,nan,$,3.67,$,https://letterboxd.com//film/late-marriage/
Dry Summer,$,1963,$,Metin Erksan,$,"['Hülya Koçyiğit', 'Ulvi Doğan', 'Erol Taş', 'Hakkı Haktan', 'Yavuz Yalınkılıç', 'Zeki Tüney', 'Niyazi Er', 'Ercan Yazgan', 'Alaettin Altıok', 'Adnan Uygur', 'Selahattin Genç', 'Hamit Türker', 'Alev Koral', 'Sadettin Erbil', 'Sami Ayanoğlu']",$,nan,$,3.86,$,https://letterboxd.com//film/dry-summer/
The Bus,$,1975,$,Tunç Okan,$,"['Tuncel Kurtiz', 'Tunç Okan', 'Björn Gedda', 'Oguz Arlas', 'Aras Ören', 'Nuri Sezer', 'Hasan Gül', 'Sümer Isgör', 'Unal Nurkan', 'Nadir Sütemen', 'Yuecsel Topcuguerler', 'Zafer S', 'Leif Ahrle', 'Pontus Platin', 'Åke Olsson', 'Ingmar Zachrisson', 'Sture Eriksson', 'Tissou Björkman', 'Maria Johansson']",$,nan,$,3.61,$,https://letterboxd.com//film/the-bus-1975/
Bride of the Earth,$,1968,$,Yılmaz Güney,$,"['Yılmaz Güney', 'Nebahat Çehre', 'Hayati Hamzaoğlu', 'Nihat Ziyalan', 'Ahmet Danyal Topatan', 'İhsan Gedik', 'Necla Aksoy', 'Çetin Başaran', 'Enver Dönmez', 'Selahattin Geçgel', 'Hasan Kapili', 'Ahmet Koç', 'Ali Sadan', 'Seyfi Sudun', 'Sami Tunç', 'Hüseyin Zan', 'Yusuf Çağatay', 'Osman Ögretmen']",$,nan,$,3.42,$,https://letterboxd.com//film/bride-of-the-earth/
Destiny,$,2006,$,Zeki Demirkubuz,$,"['Vildan Atasever', 'Ufuk Bayraktar', 'Engin Akyürek', 'Erkan Can', 'Ozan Bilen', 'Çağlar Çorumlu', 'Settar Tanrıöğen', 'Müge Ulusoy', 'Mustafa Uzunyılmaz', 'Güzin Alkan']",$,nan,$,3.8,$,https://letterboxd.com//film/destiny-2006/
Innocence,$,1997,$,Zeki Demirkubuz,$,"['Güven Kıraç', 'Haluk Bilginer', 'Derya Alabora', 'Nihal Koldaş', 'Ümit Çırak', 'Yalçın Çakmak', 'İskender Altın', 'Melis Tuna', 'Doğan Turan', 'Ajlan Aktuğ', 'Feridun Koç', 'Apo Demirkubuz', 'Erdoğan Seren', 'Süha Tuna', 'Namik Eken']",$,nan,$,4.01,$,https://letterboxd.com//film/innocence-1997/
The Hungry Wolves,$,1969,$,Yılmaz Güney,$,"['Yılmaz Güney', 'Sevgi Can', 'Hayati Hamzaoğlu', 'Türkan Agrali', 'Sırrı Elitaş', 'Savaş Eşici', 'İhsan Gedik', 'Enver Güney', 'Mine Hos', 'Bilal İnci', 'Ahmet Koç', 'Hakkı Kıvanç', 'Çetin Dağdelen']",$,nan,$,3.28,$,https://letterboxd.com//film/the-hungry-wolves/
My Prostitute Love,$,1968,$,Lütfi Akad,$,"['Türkan Şoray', 'İzzet Günay', 'Ayfer Feray', 'Semih Sezerli', 'Aydemir Akbaş', 'Hakkı Kıvanç', 'Behçet Nacar', 'Aynur Akarsu', 'Hakkı Haktan', 'Selahattin Içsel', 'Zeki Sezer', 'Yaşar Şener', 'Orhan Çoban', 'Necip Tekçe']",$,nan,$,3.98,$,https://letterboxd.com//film/my-prostitute-love/
Wedding in Galilee,$,1987,$,Michel Khleifi,$,"['Mohamad Ali El Akili', 'Bushra Karaman', 'Makram J. Khoury', 'Yussuf Abu-Warda', 'Anna Condo', 'Nazih Akleh', 'Sonia Amar', 'Eyad Anis', 'Waël Barghouti', 'Juliano Mer-Khamis', 'Ian Chemi', 'Tali Dorat']",$,nan,$,3.56,$,https://letterboxd.com//film/wedding-in-galilee/
The Girl with the Red Scarf,$,1977,$,Atıf Yılmaz,$,"['Türkan Şoray', 'Kadir İnanır', 'Ahmet Mekin', 'Hülya Tuğlu', 'Cengiz Sezici', 'Nurhan Nur', 'İhsan Yüce', 'Elif Inci', 'Perihan Doygun', 'Mehmet Yigenoglu', 'Erol Batıbeki', 'Taci Ersan', 'Günay Güner', 'Erkan Esenboga']",$,nan,$,3.85,$,https://letterboxd.com//film/the-girl-with-the-red-scarf/
Friend,$,1974,$,Yılmaz Güney,$,"['Yılmaz Güney', 'Semra Özdamar', 'Ahu Tuğbay', 'Kerim Afşar', 'Civan Canova', 'Azra Balkan', 'Melike Demirağ', 'Nizam Ergüden', 'Yusuf Tunalıoğlu', 'Özden Yüce']",$,nan,$,3.33,$,https://letterboxd.com//film/friend-1974/
The Night,$,1992,$,Mohammad Malas,$,"['Fares Al-Helou', 'Sabah Jazairi', 'Fares Kelou', 'Omar Malas', 'Riadh Chahrour', 'Maher Salibi', 'Nezar Abohajar', 'Hazar Awad', 'Ghassan Azeb', 'Faouzi Bchara', 'Hayat Chafik', 'Abdallah Dawesh', 'Hadran Hamam', 'Nada Humsi', 'Tasir Idriss', 'Hélène Kajmihi', 'Hicham Khchefati', 'Raja Kotrach', 'Zyad Mawlaoui', 'Agap Mikhaelian', 'Sahar Mourakade', 'Samir Murad', 'Adram Sadek', 'Rafik Sbeï', 'Maher Sleibi']",$,nan,$,4.08,$,https://letterboxd.com//film/the-night/
A Woman's Case,$,1969,$,Jacques Katmor,$,"['Aharon Almog', 'Tirzeh Arbel', 'Adar Eshet', 'Hillit Katmor', 'Gad Keiner', 'Aviva Paz', 'Yossi Spector', 'Ann Tochmeyer']",$,nan,$,3.45,$,https://letterboxd.com//film/a-womans-case/
The Herd,$,1979,$,Zeki Ökten,$,"['Tarık Akan', 'Melike Demirağ', 'Tuncel Kurtiz', 'Levent İnanir', 'Yaman Okay', 'Erol Demiröz', 'Şener Kökkaya', 'Savaş Yurttaş', 'Meral Niron', 'Gülten Kaya', 'Güler Ökten', 'Fehmi Yasar']",$,nan,$,4.02,$,https://letterboxd.com//film/the-herd/
Kippur,$,2000,$,Amos Gitai,$,"['Liron Levo', 'Tomer Russo', 'Uri Klauzner', 'Yoram Hattab', 'Guy Amir']",$,nan,$,3.12,$,https://letterboxd.com//film/kippur/
My Father and My Son,$,2005,$,Çağan Irmak,$,"['Çetin Tekindor', 'Fikret Kuşkan', 'Binnur Kaya', 'Ege Tanman', 'Özge Özberk', 'Tuba Büyüküstün', 'Hümeyra', 'Yetkin Dikinciler', 'Erdal Tosun', 'Nergis Çorakçı', 'Mahmut Gökgöz', 'Halit Ergenç', 'Mehmet Canbeg', 'Alaaddin Sakar', 'Aytaç Özgür']",$,nan,$,3.87,$,https://letterboxd.com//film/my-father-and-my-son/
Divine Intervention,$,2002,$,Elia Suleiman,$,"['Elia Suleiman', 'Manal Khader', 'George Ibrahim', 'Amer Daher', 'Jamel Daher', 'Lufuf Nuweiser', 'Read Masarweh', 'Bassem Loulou', 'Salwa Nakkara', 'Naaman Jarjoura', 'Rama Nashashibi', 'Saiman Natour', 'Fairos Hakim', 'Khalil Jarjoura', 'Hamada Shamout']",$,nan,$,3.54,$,https://letterboxd.com//film/divine-intervention/
