Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
Picnic at Hanging Rock,$,1975,$,Peter Weir,$,"['Rachel Roberts', 'Vivean Gray', 'Helen Morse', 'Kirsty Child', 'Tony Llewellyn-Jones', 'Jacki Weaver', 'Anne-Louise Lambert', 'Karen Robson', 'Jane Vallis', 'Christine Schuler', 'Margaret Nelson', 'Ingrid Mason', 'Jenny Lovell', 'Janet Murray', 'Wynn Roberts', 'Peter Collingwood', 'Olga Dickie', 'Dominic Guard', 'John Jarratt', 'Frank Gunnell', 'Vivienne Graves', 'Angela Bencini', 'Melinda Cardwell', 'Annabel Powrie', 'Amanda White', ""Lindy O'Connell"", 'Verity Smith', 'Deborah Mullins', 'Sue Jamieson', 'Bernadette Bencini', 'Barbara Lloyd', 'Kay Taylor', 'Garry McDonald', 'Martin Vaughan', 'John Fegan']",$,nan,$,3.79,$,https://letterboxd.com//film/picnic-at-hanging-rock/
Walkabout,$,1971,$,Nicolas Roeg,$,"['Jenny Agutter', 'Luc Roeg', 'David Gulpilil', 'John Meillon', 'Robert McDarra', 'Peter Carver', 'John Illingsworth', 'Hilary Bamberger', 'Barry Donnelly', 'Noeline Brown', 'Carlo Manchini']",$,nan,$,3.9,$,https://letterboxd.com//film/walkabout/
The Piano,$,1993,$,Jane Campion,$,"['Holly Hunter', 'Harvey Keitel', 'Sam Neill', 'Anna Paquin', 'Cliff Curtis', 'Kerry Walker', 'Ian Mune', 'Geneviève Lemon', 'Pete Smith', 'Bruce Allpress', 'Rose McIver', 'Verity George', 'Stephen Papps', 'Karen Colston', 'Eddie Campbell', 'Te Whatanui Skipwith', 'Tungia Baker', 'Neil Gudsell', 'Jon Sperry', 'Greg Mayor']",$,nan,$,3.78,$,https://letterboxd.com//film/the-piano/
Mad Max,$,1979,$,George Miller,$,"['Mel Gibson', 'Joanne Samuel', 'Hugh Keays-Byrne', 'Steve Bisley', 'Tim Burns', 'Roger Ward', 'Lisa Aldenhoven', 'David Bracks', 'Bertrand Cadart', 'David Cameron', 'Robina Chaffey', 'Stephen Clark', 'Mathew Constantine', 'Jerry Day', 'Reg Evans', 'Howard Eynon', 'Max Fairchild', 'John Farndale', 'Peter Felmingham', 'Sheila Florance', 'Nic Gazzana', 'Hunter Gibb', 'Vincent Gil', 'Andrew Gilmore', 'Jonathan Hardy', 'Brendan Heath', 'Paul Johnstone', 'Nick Lathouris', 'John Ley', 'Steve Millichamp', 'Phil Motherwell', 'George Novak', 'Geoff Parry', 'Lulu Pinkus', 'Neil Thompson', 'Billy Tisdall', 'Gil Tucker', 'Kim Sullivan', 'John Arnold', 'Joan Letch', 'Tom Broadbridge', 'Vernon Weaver', 'Paul Young', 'Peter Culpan', 'Di Trelour', 'Peter Ford', 'Christine Kaman', 'Clive Hearne', 'Telford Jackson', 'Kerry Miller', 'Brendan Young', 'Janine Ogden', 'Amanda Muggleton', 'James McCausland', 'Lisa Dombroski']",$,nan,$,3.34,$,https://letterboxd.com//film/mad-max/
Wake in Fright,$,1971,$,Ted Kotcheff,$,"['Gary Bond', 'Donald Pleasence', 'Chips Rafferty', 'Sylvia Kay', 'Jack Thompson', 'Peter Whittle', 'Al Thomas', 'John Meillon', 'John Armstrong', 'Slim DeGrey', 'Maggie Dence', 'Norm Erskine', 'Owen Moase', 'John Dalleen', 'Buster Fiddess', 'Tex Foote', 'Colin Hughes', 'Jacko Jackson', 'Nancy Knudsen', 'Dawn Lake', 'Harry Lawrence', 'Robert McDarra', 'Carlo Manchini', 'Liam Reynolds', 'Nelson']",$,nan,$,3.97,$,https://letterboxd.com//film/wake-in-fright/
Muriel's Wedding,$,1994,$,P.J. Hogan,$,"['Toni Collette', 'Bill Hunter', 'Rachel Griffiths', 'Sophie Lee', 'Jeanie Drynan', 'Gennie Nevinson', 'Daniel Lapaine', 'Matt Day', 'Roz Hammond', 'Belinda Jarrett', 'Pippa Grandison', 'Dan Wyllie', 'Gabby Millgate', 'Chris Haywood', 'Annie Byron', 'Cecily Polson', 'Susan Prior', 'Nathan Kaye', 'Rob Steele', 'Geneviève Picot', 'Richard Sutherland', 'Steve Smith', 'Katie Saunders', 'Dene Kermond', 'Jeamin Lee', 'Jon-Claire Lee', 'Kuni Hashimoto', 'Ken Senga', 'Des Rodgers', 'Rohan Jones', 'Scott Hall-Watson', 'Craig Olson', 'Justin Witham', 'Rodney Arnold', 'Barry Crocker', 'Kevin Copeland', 'James Schramko', 'Richard Morecroft', 'Richard Carter', 'John Gaden', 'Heidi Lapaine', 'Heather Mitchell', 'Di Smith', 'Darrin Klimek', 'Penne Hackforth-Jones', 'Kirsty Hinchcliffe', 'Robert Alexander', 'Troy Hardy', 'Robyn Pitt Owen', 'Jacqueline Linke', 'Alvaro Marques', 'Fiona Sullivan', 'Ineke Rapp', 'Julian Garner', 'Vincent Ball', 'John Hoare', 'Frankie Davidson', 'Louise Cullen', 'Basil Clarke', 'John Walton', 'Daniel Hepner', 'John Michael Howson', 'Fred Rouady']",$,nan,$,3.75,$,https://letterboxd.com//film/muriels-wedding/
The Year of Living Dangerously,$,1982,$,Peter Weir,$,"['Mel Gibson', 'Sigourney Weaver', 'Linda Hunt', 'Michael Murphy', 'Bill Kerr', 'Noel Ferrier', 'Bembol Roco', 'Paul Sonkkila', 'Domingo Landicho', 'Kuh Ledesma', 'Hermino De Guzman', 'Ali Nur', 'Dominador Robridillo', 'Joel Agona', 'Mike Emperio', 'Bernardo Nacilla', 'Coco Marantha', 'Norma Uatuhan', 'Lito Tolentino', 'Cecily Polson', 'David Oyang', 'Mark Egerton', 'Joonee Gamboa', 'Pudji Waseso', 'Joel Lamangan', 'Mario Layco', 'Jabo Djohansjan', 'Agoes Widjaya Soedjarwo', 'Chris Quivak']",$,nan,$,3.44,$,https://letterboxd.com//film/the-year-of-living-dangerously/
An Angel at My Table,$,1990,$,Jane Campion,$,"['Kerry Fox', 'Alexia Keogh', 'Karen Fergusson', 'Iris Churn', 'Jessie Mune', 'Kevin J. Wilson', 'Edith Campion', 'Francesca Collins', 'Melina Bernecker', 'Mark Morrison', 'Katherine Murray-Cowper', 'Mark Thomson', 'Brenda Kendall', 'Paul Moffat', 'Blair Hutchison', 'David McAuslan', 'Ailene Herring', 'Faye Flegg', 'Carla Hedgeman', 'Timothy Bartlett', 'Richard Mills', 'Sassy Acorn', 'Tony Creamer', 'Hamish McFarlane', 'Geoff Barlow', 'Samantha Townsley', 'Sarah Llewellyn', 'Christopher Lawrence', 'Fiona Kay', 'Brian Flegg', 'Eileen Clarke', 'Margaret Gordon', 'Caroline Somerville', 'Lilian Enting', 'Fiona Brown', 'Maureen Duffy', 'Karla Smith', ""Willa O'Neill"", 'Fritha Stalker', 'Melanie Reid', 'Natasha Gray', 'Kelly Stewart', 'Andrew Robertt', 'Glynis Angell', 'Susan McGregor', 'Erin Mills', 'Virginia Brocklehurst', 'Natalie Ellis', 'Eddie Hegan', 'Sarah Smuts-Kennedy', 'Colin McColl', 'Erin Dorricott', 'Francene Clark', 'Doreen Donnell', 'Alistair Douglas', 'Rod Collison', 'Harry Lavington', 'Sheryl Stewart', 'Cushla Ashton', ""Jacqueline O'Rourke"", 'Joy Trow', 'June Shane', 'Annabel Lomas', 'Ann Coc-Kroft', 'David Stott', 'Elizabeth McRae', 'Jim Rawdon', 'Peter Brunt', 'Celia Nicholson', 'Peter Needham', 'Joshua Cole', 'Ian Hendl', 'Martyn Sanderson', 'Jessica Wilcox', 'Mark Clare', 'Helene Anderson', 'Joan Foster', 'David Letch', 'Robert Jayne', 'Sharon Marsden', 'Collette Cooper', 'Julia Calvo', 'Carlos Martínez', 'Maria Matias', 'Michael Harry', 'Maria Mercedes Moroto', 'Paula Sánchez', 'Timothy Smith', 'Alison Bruce', 'William Brandt', 'Gwyneth Hugues', 'Gerald Bryan', 'Billie Atkinson', 'Peter Dennett', 'David McKenzie', 'Eleanor Wragge', 'Caroline Flint', 'Rachel Hernandez', 'Patrick Griffiths', 'Tiffany de Castro', 'Ruth Dudding', 'Paul Norell']",$,nan,$,3.82,$,https://letterboxd.com//film/an-angel-at-my-table/
Snowtown,$,2011,$,Justin Kurzel,$,"['Lucas Pittaway', 'Daniel Henshall', 'Louise Harris', 'Frank Cwertniak', 'Matthew Howard', 'Marcus Howard', 'Anthony Groves', 'Richard Green', 'Aaron Viergever', 'Beau Gosling', 'Brendan Rock', 'David Walker', 'Kathryn Wissell', 'Bryan Sellars', 'Craig Coyne', 'Keiran Schwerdt', 'Aasta Brown', 'Allan Chapple', 'Andrew Mayers', 'Krystle Flaherty', 'Denis Davey', 'Robert Deeble', 'Bob Adriaens']",$,nan,$,3.41,$,https://letterboxd.com//film/snowtown/
Next of Kin,$,1982,$,Tony Williams,$,"['Jacki Kerin', 'John Jarratt', 'Alex Scott', 'Gerda Nicolson', 'Charles McCallum', 'Bernadette Gibson', 'Robert Ratti', 'Vince Deltito', 'Tommy Dysart', 'Debra Lawrance', 'Kristine Marshall', 'Simon Thorpe', 'David Allshorn', 'Alan Rowe', 'Matt Burns', 'Daphne Miller', 'Isobel Harley', 'Eunice Crimp', 'Irene Hewitt', 'Myrtle Woods', 'Vic Gordon', 'Peter Lord', 'Ernest Wilson', 'Bill Marr', 'John Bishop', 'Mitchell Faircloth', 'Sid Krasey', 'John Strahan', 'Nora Toohey']",$,nan,$,3.4,$,https://letterboxd.com//film/next-of-kin-1982/
