Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
The Celebration,$,1998,$,Thomas Vinterberg,$,"['Ulrich Thomsen', 'Henning Moritzen', 'Thomas Bo Larsen', 'Paprika Steen', 'Birthe Neumann', 'Trine Dyrholm', 'Helle Dolleris', 'Therese Glahn', 'Klaus Bondam', 'Bjarne Henriksen', 'Gbatokai Dakinah', 'Lasse Lunderskov', 'Lars Brygmann', 'Lene Laub Oksen', 'Linda Laursen', 'John Boas', 'Erna Boas', 'Bent Henningsen', 'Poul Kajbæk', 'Vibeke Dalset', 'Janne Thomsen', 'Anette Jakobsen', 'Poul Petersen', 'Gulli Sejrsen', 'Vibeke Kaiser', 'John Johnsen', 'Dan Eilertsen', 'Søren Sögreni', 'Kate Goldschmidt', 'Jens Nørring', 'Bent Kaiser', 'Maria Myrgård', 'Peter Krag', 'Stig Poul Hansen', 'Kaj Rasmussen', 'Robert Strandgård', 'Gry Worre Hallberg', 'René', 'Christine Louise Jørgensen', 'Dorte Olofsen', 'Kasper Olofsen', 'Emilian Sejersen', 'Susanne Funck', 'Rosmarie Jørgensen', 'Lasse Jacobsen', 'Sigrid Aalbæk Jensen', 'Mikkel Jacobsen', 'Birgitte Simonsen', 'Thomas Vinterberg']",$,nan,$,4.15,$,https://letterboxd.com//film/the-celebration/
Day of Wrath,$,1943,$,Carl Theodor Dreyer,$,"['Thorkild Roose', 'Lisbeth Movin', 'Preben Lerdorff Rye', 'Sigrid Neiiendam', 'Anna Svierkier', 'Albert Høeberg', 'Olaf Ussing', 'Preben Neergaard', 'Kirsten Andreasen', 'Sigurd Berg', 'Harald Holst', 'Emanuel Jørgensen', 'Sophie Knudsen', 'Emilie Nielsen', 'Hans Christian Sørensen', 'Dagmar Wildenbrück']",$,nan,$,4.12,$,https://letterboxd.com//film/day-of-wrath/
Through a Glass Darkly,$,1961,$,Ingmar Bergman,$,"['Harriet Andersson', 'Gunnar Björnstrand', 'Max von Sydow', 'Lars Passgård']",$,nan,$,4.06,$,https://letterboxd.com//film/through-a-glass-darkly/
Persona,$,1966,$,Ingmar Bergman,$,"['Bibi Andersson', 'Liv Ullmann', 'Margaretha Krook', 'Gunnar Björnstrand', 'Jörgen Lindström']",$,nan,$,4.36,$,https://letterboxd.com//film/persona/
Summer with Monika,$,1953,$,Ingmar Bergman,$,"['Harriet Andersson', 'Lars Ekborg', 'Dagmar Ebbesen', 'Åke Fridell', 'Naemi Briese', 'Åke Grönberg', 'Sigge Fürst', 'John Harryson', 'Georg Skarstedt', 'Gösta Ericsson', 'Gösta Gustafson', 'Gösta Prüzelius', 'Göthe Grefbo', 'Arthur Fischer', 'Torsten Lilliecrona', 'Bengt Eklund', 'Ivar Wahlgren', 'Catrin Westerlund', 'Hanny Schedin', 'Kjell Nordenskiöld', 'Nils Hultgren', 'Ernst Brunman', 'Sten Mattsson', 'Magnus Kesster', 'Carl-Axel Elfving', 'Bengt Brunskog', 'Wiktor Andersson', 'Birger Sahlberg', 'Nils Whiten', 'Tor Borong', 'Einar Söderbäck', 'Mona Geijer-Falkner', 'Astrid Bodin', 'Uno Larsson', 'Harry Ahlin', 'Anders Andelius', 'Renée Björling', 'Jessie Flaws', 'Gert Fylking', 'Gustaf Färingborg', 'Gordon Löwenadler', 'Mona Åstrand', 'Sven Löfgren', 'Gun Östring']",$,nan,$,3.76,$,https://letterboxd.com//film/summer-with-monika/
Gertrud,$,1964,$,Carl Theodor Dreyer,$,"['Nina Pens Rode', 'Bendt Rothe', 'Ebbe Rode', 'Baard Owe', 'Axel Strøbye', 'Karl Gustav Ahlefeldt', 'Vera Gebuhr', 'Lars Knutzon', 'Anna Malberg', 'Edouard Mielche', 'William Knoblauch', 'Valsø Holm', 'Carl Johan Hviid']",$,nan,$,3.83,$,https://letterboxd.com//film/gertrud/
Wild Strawberries,$,1957,$,Ingmar Bergman,$,"['Victor Sjöström', 'Bibi Andersson', 'Ingrid Thulin', 'Gunnar Björnstrand', 'Jullan Kindahl', 'Folke Sundquist', 'Björn Bjelfvenstam', 'Naima Wifstrand', 'Gunnel Broström', 'Gertrud Fridh', 'Sif Ruud', 'Gunnar Sjöberg', 'Max von Sydow', 'Åke Fridell', 'Yngve Nordwall', 'Per Sjöstrand', 'Gio Petré', 'Gunnel Lindblom', 'Maud Hansson', 'Ann-Marie Wiman', 'Eva Norée', 'Lena Bergman', 'Monica Ehrling', 'Per Skogsberg', 'Göran Lundquist', 'Helge Wulff', 'Peder Hellman', 'Vendela Rudbäck', 'Ulf Johansson', 'Erik Nordgren', 'Josef Norman', 'Gunnar Olsson', 'Harry Asklund']",$,nan,$,4.24,$,https://letterboxd.com//film/wild-strawberries/
Ordet,$,1955,$,Carl Theodor Dreyer,$,"['Henrik Malberg', 'Birgitte Federspiel', 'Emil Hass Christensen', 'Preben Lerdorff Rye', 'Cay Kristiansen', 'Ejner Federspiel', 'Gerda Nielsen', 'Sylvia Eckhausen', 'Ann Elisabeth Groth', 'Susanne Rud', 'Ove Rud', 'Henry Skjær', 'Edith Trane', 'Hanne Agesen', 'Kirsten Andreasen']",$,nan,$,4.27,$,https://letterboxd.com//film/ordet/
The Sacrifice,$,1986,$,Andrei Tarkovsky,$,"['Erland Josephson', 'Susan Fleetwood', 'Allan Edwall', 'Guðrún Gísladóttir', 'Sven Wollter', 'Valérie Mairesse', 'Filippa Franzén', 'Tommy Kjellqvist', 'Per Källman', 'Tommy Nordahl', 'Tintin Anderzon', 'Jane Friedmann', 'Helena Brodin', 'Martin Lindström', 'Birgit Carlstén', 'Jan-Olof Strandberg']",$,nan,$,4.22,$,https://letterboxd.com//film/the-sacrifice/
Winter Light,$,1963,$,Ingmar Bergman,$,"['Gunnar Björnstrand', 'Ingrid Thulin', 'Gunnel Lindblom', 'Max von Sydow', 'Allan Edwall', 'Kolbjörn Knudsen', 'Olof Thunberg', 'Elsa Ebbesen-Thornblad', 'Tor Borong', 'Bertha Sånnell', 'Helena Palmgren', 'Eddie Axberg', 'Lars-Owe Carlberg', 'Ingmari Hjort', 'Stefan Larsson', 'Johan Olafs', 'Lars-Olof Andersson', 'Christer Öhman']",$,nan,$,4.15,$,https://letterboxd.com//film/winter-light/
