Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
Extraordinary Stories,$,2008,$,Mariano Llinás,$,"['Walter Jakob', 'Agustín Mendilaharzu', 'Mariano Llinás', 'Klaus Dietze', 'Horacio Marassi', 'Eduardo Iacono', 'Lola Arias', 'Mariana Chaud', 'Julio Citarella', 'Edmundo Lavalle', 'Leandro Ibarra', 'Héctor Bordoni', 'Óscar Mauregui', 'Fernando Llosa', 'Esteban Lamothe', 'Alberto Suárez', 'Ana Livingston', 'Lila Monti', 'Germán de Silva', 'Emma Rivera', 'Gerardo Naumann', 'William Prociuk', 'Marcelo Mariño', 'Elisa Carricajo', 'Gerardo Sebastián García', 'Victoria Hladilo', 'Matías Feldman', 'Santiago Gobernori', 'Mara Guerra', 'Soledad Cagnoni', 'Rafael Spregelburd', 'Héctor Díaz', 'Federico Buso', 'Diego Jalfen', 'Alberto Ajaka', 'Andrés Toro', 'Diego Alarcón', 'Francisco San Sebastián', 'Santiago Mitre', 'Mariana Mitre', 'Federico Ricciardi', 'Juan Ignacio Duggan', 'Raúl Ramírez Corrales', 'Federico Esquerro', 'Martín Mauregui', 'Juan Schnitman', 'Diego Jabie', 'Pilo Nelli', 'Mariano Dal Verme', 'Fernando Brizuela', 'Julieta Ulanovsky', 'Gabriel Chwojnik', 'Daniel Hendler', 'Juan Minujín', 'Verónica Llinás', 'Enrique Boess', 'Fulvio Cozzani', 'Aldo Castro', 'Rodolfo Andreani', 'Vicente Fasano', 'Federico Hellemeyer', 'Pilar Fernández Árbol', 'Laura Citarella', 'Diana Criscaut', 'M. Josefina de Dobrzynski', 'Jacinta Grondona', 'Neldo José Hernández', 'Jorge Ricaldoni', 'Alberto Spezzi', 'Alberto Refusta', 'Gustavo Nuñez', 'Óscar Mauregui Sr.', 'Raúl Mujica', 'Ernesto van Peborgh', 'Hilda Jaureguiberri', 'Raúl Agüero', 'Rocío de Prado', 'Paulina de Prado', 'Matías Arce', 'Marina Rodríguez', 'Raquel C. Giménez', 'Judith Iroz', 'M. de los Ángeles Muñoz', 'Guillermo Ravizzoli', 'Matías Lobos', 'Carla Grillo', 'Ignacio Masllorens', 'Diego Steverlynk', 'Ignacio Labaqui', 'Santiago Timerman', 'Lulu Kirschenbaum', 'Alejo Moguillansky', 'Rodrigo Muñoz Gálvez', 'Ernesto Madanes', 'Cacho Nebbia', 'Luciano Moreno', 'Javier Álvarez', 'Aníbal Fernández']",$,nan,$,4.14,$,https://letterboxd.com//film/extraordinary-stories/
Liverpool,$,2008,$,Lisandro Alonso,$,"['Juan Fernández', 'Nieves Cabrera', 'Giselle Irrazabal']",$,nan,$,3.51,$,https://letterboxd.com//film/liverpool/
Jauja,$,2014,$,Lisandro Alonso,$,"['Viggo Mortensen', 'Ghita Nørby', 'Viilbjørk Malling Agger', 'Adrián Fondari', 'Esteban Bigliardi', 'Diego Román Harillo', 'Mariano Arce', 'Misael Saavedra', 'Gabriel Marquez', 'Brian Patterson']",$,nan,$,3.53,$,https://letterboxd.com//film/jauja/
La Libertad,$,2001,$,Lisandro Alonso,$,"['Misael Saavedra', 'Humberto Estrada', 'Rafael Estrada', 'Omar Didino', 'Javier Didino']",$,nan,$,3.6,$,https://letterboxd.com//film/la-libertad/
La Ciénaga,$,2001,$,Lucrecia Martel,$,"['Mercedes Morán', 'Graciela Borges', 'Martín Adjemián', 'Leonora Balcarce', 'Silvia Baylé', 'Sofia Bertolotto', 'Juan Cruz Bordeu', 'Noelia Bravo Herrera', 'Maria Micol Ellero', 'Daniel Valenzuela', 'Andrea López', 'Sebastián Montagna', 'Franco Veneranda', 'Fabio Villafane', 'Diego Baenas']",$,nan,$,3.89,$,https://letterboxd.com//film/la-cienaga/
And So It Is,$,1966,$,Jorge Sanjinés,$,"['Benedicta Huanca', 'Vicente Verneros Salinas', 'Néstor Peredo', 'Benedicta Mendoza', 'Elsa Antequera', 'Néstor Cárdenas']",$,nan,$,3.64,$,https://letterboxd.com//film/and-so-it-is/
Barren Lives,$,1963,$,Nelson Pereira dos Santos,$,"['Átila Iório', 'Maria Ribeiro', 'Jofre Soares', 'Gilvan Lima', 'Genivaldo Lima', 'Maria Rosa', 'Orlando Macedo']",$,nan,$,3.94,$,https://letterboxd.com//film/barren-lives/
"Black God, White Devil",$,1964,$,Glauber Rocha,$,"['Geraldo del Rey', 'Yoná Magalhães', 'Othon Bastos', 'Sonia dos Humildes', 'Maurício do Valle', 'Lídio Silva', 'João Gama', 'Antônio Pinto']",$,nan,$,4.09,$,https://letterboxd.com//film/black-god-white-devil/
City of God,$,2002,$,Fernando Meirelles,$,"['Alexandre Rodrigues', 'Leandro Firmino', 'Phellipe Haagensen', 'Douglas Silva', 'Jonathan Haagensen', 'Matheus Nachtergaele', 'Seu Jorge', 'Jefechander Suplino', 'Alice Braga', 'Roberta Rodrigues', 'Luis Otávio', 'Darlan Cunha', 'Thiago Martins', 'Gero Camilo', 'Daniel Zettel', 'Charles Paraventi', 'Danielle Ornelas', 'Micael Borges', 'Lúcio Andrey', 'Marcello Melo Jr.', 'Babu Santana', 'Mary Sheila', 'Paulo Lins', 'Olivia Araújo', 'Graziella Moretto', 'Tulé Peak', 'Kikito Junqueira', 'Renato de Souza', 'Edson Oliveira', 'Kiko Marques', 'Emerson Gomes', 'Michel Gomes']",$,nan,$,4.44,$,https://letterboxd.com//film/city-of-god/
Araya,$,1959,$,Margot Benacerraf,$,"['José Ignacio Cabrujas', 'Laurent Terzieff']",$,nan,$,3.86,$,https://letterboxd.com//film/araya/
The Holy Girl,$,2004,$,Lucrecia Martel,$,"['María Alché', 'Mercedes Morán', 'Julieta Zylberberg', 'Carlos Belloso', 'Alejandro Urdapilleta', 'Mía Maestro', 'Marta Lubos', 'Arturo Goetz', 'Alejo Mango', 'Mónica Villa']",$,nan,$,3.75,$,https://letterboxd.com//film/the-holy-girl/
The Hour of the Furnaces,$,1968,$,"Fernando E. Solanas, Octavio Getino",$,"['María de la Paz', 'Fernando E. Solanas', 'Edgardo Suárez', 'Juan Domingo Perón', 'Che Guevara', 'Fidel Castro']",$,nan,$,4.01,$,https://letterboxd.com//film/the-hour-of-the-furnaces/
Rosaura at 10 O'Clock,$,1958,$,Mario Soffici,$,"['Juan Verdaguer', 'Susana Campos', 'María Luisa Robledo', 'Alberto Dalbés', 'Amalia Bernabé', 'María Concepción César', 'Héctor Calcaño', 'Nina Brian', 'Lilí Gacel', 'Beto Gianola', 'Miguel Ligero', 'Enrique Kossi', 'Rita Montesi', 'Nelly Beltrán', 'Julián Bourges', 'Rodolfo Crespi', 'Carlos Escobares', 'Maruja Lopetegui', 'Milo Quesada', 'Sarita Rudoy', 'Rafael Salvatore', 'Mario Savino', 'Mario Soffici']",$,nan,$,3.95,$,https://letterboxd.com//film/rosaura-at-10-oclock/
Ganga Bruta,$,1933,$,Humberto Mauro,$,"['Durval Bellini', 'Déa Selva', 'Lu Marival', 'Décio Murilo', 'Andrea Duarte', 'Alfredo Nunes', 'Ivan Villar', 'Carlos Eugênio', 'João Baldi', 'Sérgio Barreto Filho', 'Francisco Bevilácqua', 'Ayres Cardoso', 'João Cardoso', 'Edson Chagas', 'João Fernandes']",$,nan,$,3.4,$,https://letterboxd.com//film/ganga-bruta/
How Tasty Was My Little Frenchman,$,1971,$,Nelson Pereira dos Santos,$,"['Arduíno Colassanti', 'Ana Maria Magalhães', 'Eduardo Imbassahy Filho', 'Gabriel Arcanjo', 'José Kleber', 'Luiz Carlos Lacerda']",$,nan,$,3.53,$,https://letterboxd.com//film/how-tasty-was-my-little-frenchman/
Wild Tales,$,2014,$,Damián Szifron,$,"['Ricardo Darín', 'Leonardo Sbaraglia', 'Érica Rivas', 'Oscar Martínez', 'Rita Cortese', 'Julieta Zylberberg', 'Darío Grandinetti', 'María Marull', 'Mónica Villa', 'César Bordón', 'Walter Donado', 'Nancy Dupláa', 'Luis Mazzeo', 'María Onetto', 'Osmar Núñez', 'Germán de Silva', 'Diego Velázquez', 'Alan Daicz', 'Diego Gentile', 'Diego Starosta', 'Marcelo Frasca', 'Lucila Mangone', 'Carlos Alberto Vavassori', 'Juan Santiago Linari', 'Andrea Garrote', 'Pablo Moseinco', 'Federico Liss', 'Pablo Chao', 'Noemí Ron', 'Camila Sofía Casas', 'Ramiro Vayo', 'Abián Vainstein', 'Liliana Weimer', 'Claudio Delan', 'Graciela Fodrini', 'Margarita Molfino', 'Marcelo Pozzi', 'Paula Grinszpan', 'Miguel Di Lemme']",$,nan,$,4.11,$,https://letterboxd.com//film/wild-tales/
