Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
My Darling Clementine,$,1946,$,John Ford,$,"['Henry Fonda', 'Linda Darnell', 'Victor Mature', 'Cathy Downs', 'Walter Brennan', 'Tim Holt', 'Ward Bond', 'Alan Mowbray', 'John Ireland', 'Roy Roberts', 'Jane Darwell', 'Grant Withers', 'J. Farrell MacDonald', 'Russell Simpson', 'Robert Adler', 'C.E. Anderson', 'Don Barclay', 'Hank Bell', 'Danny Borzage', 'Ruth Clifford', 'Frank Conlan', 'Tex Cooper', 'Jack Curtis', 'William B. Davidson', 'James Dime', 'Tex Driscoll', 'Frank Ellis', 'Francis Ford', 'Earle Foxe', 'Don Garner', 'Ben Hall', 'Aleth Hansen', 'Jack Kenny', 'Duke R. Lee', 'Fred Libby', 'Mae Marsh', 'Margarita Martín', 'Kermit Maynard', 'Louis Mercier', 'Jack Montgomery', 'Jack Pennick', 'Mickey Simpson', 'Charles Stevens', 'Arthur Walsh', 'Harry Woods']",$,nan,$,4.01,$,https://letterboxd.com//film/my-darling-clementine/
In a Lonely Place,$,1950,$,Nicholas Ray,$,"['Humphrey Bogart', 'Gloria Grahame', 'Frank Lovejoy', 'Carl Benton Reid', 'Art Smith', 'Jeff Donnell', 'Martha Stewart', 'Robert Warwick', 'Morris Ankrum', 'William Ching', 'Steven Geray', 'Hadda Brooks', 'James Arness', 'Pat Barton', 'Guy Beach', 'David Bond', 'Hazel Boyne', 'Laura K. Brooks', 'Charles Cane', 'Jack Chefe', 'Oliver Cross', 'George Davis', 'Melinda Erickson', 'Charles Fogel', 'Arno Frey', 'Ruth Gillette', 'Billy Gray', 'Joy Hallward', 'Myron Healey', 'Lewis Howard', 'Jack Jahries', 'Mike Lally', 'Tony Layng', 'Mark Lowell', 'Frank Marlowe', 'Harold Miller', 'John Mitchum', 'George Nardelli', 'Allen Pinson', 'Jack Reynolds', 'Davis Roberts', 'Michael Romanoff', 'Jack Santoro', 'Cosmo Sardo', 'Alix Talton', 'Evelyn Underwood', 'June Vincent', 'Ruth Warren']",$,nan,$,4.13,$,https://letterboxd.com//film/in-a-lonely-place/
To Be or Not to Be,$,1942,$,Ernst Lubitsch,$,"['Carole Lombard', 'Jack Benny', 'Robert Stack', 'Felix Bressart', 'Lionel Atwill', 'Stanley Ridges', 'Sig Ruman', 'Tom Dugan', 'Charles Halton', 'George Lynn', 'Henry Victor', 'Maude Eburne', 'Halliwell Hobbes', 'Miles Mander', 'Rudolph Anders', 'Paul Barrett', 'Sven Hugo Borg', 'Danny Borzage', 'Buster Brodie', 'Peter Caldwell', 'Alec Craig', 'Helmut Dantine', 'Jack Deery', 'Leslie Denison', 'James Finlayson', 'James Gillette', 'Stuart Hall', 'Leyland Hodgson', 'Shep Houghton', 'Olaf Hytten', 'Charles Irwin', 'Tiny Jones', 'John Kellogg', 'Adolf E. Licho', 'Wilbur Mack', 'John Meredith', 'Maurice Murphy', 'Richard Neill', 'Russ Powell', 'Frank Reicher', 'Otto Reichow', 'Gene Rizzi', 'John Roy', 'Hans Schumm', 'Stephen Soldi', 'Count Stefenelli', 'Roland Varno', 'Ernö Verebes', 'Dorothy Vernon', ""Armand 'Curly' Wright"", 'Wolfgang Zilzer']",$,nan,$,4.21,$,https://letterboxd.com//film/to-be-or-not-to-be/
Canyon Passage,$,1946,$,Jacques Tourneur,$,"['Dana Andrews', 'Brian Donlevy', 'Susan Hayward', 'Patricia Roc', 'Ward Bond', 'Hoagy Carmichael', 'Fay Holden', 'Stanley Ridges', 'Lloyd Bridges', 'Victor Cutler', 'Rose Hobart', 'Halliwell Hobbes', 'James Cardwell', 'Onslow Stevens', 'Andy Devine', 'John George', 'Erville Alderson', 'Richard Alexander', 'Phil Bloom', 'John Bose', 'Roy Bucko', 'Tex Cooper', 'Ben Corbett', 'Jack Kenny', 'Al Kunde', 'Bob Reeves', 'Harlan Briggs', 'Chief Yowlachie', 'Frank Ferguson', 'Virginia Patton']",$,nan,$,3.84,$,https://letterboxd.com//film/canyon-passage/
Vertigo,$,1958,$,Alfred Hitchcock,$,"['James Stewart', 'Kim Novak', 'Barbara Bel Geddes', 'Tom Helmore', 'Henry Jones', 'Raymond Bailey', 'Ellen Corby', 'Konstantin Shayne', 'Lee Patrick', 'Bess Flowers', 'Alfred Hitchcock', 'David Ahdar', 'Sara Taft']",$,nan,$,4.19,$,https://letterboxd.com//film/vertigo/
Sunrise: A Song of Two Humans,$,1927,$,F. W. Murnau,$,"['George O’Brien', 'Janet Gaynor', 'Margaret Livingston', 'Bodil Rosing', 'J. Farrell MacDonald', 'Ralph Sipperly', 'Jane Winton', 'Arthur Housman', 'Eddie Boland', 'Herman Bing', 'Sidney Bracey', 'Gino Corrado', 'Vondell Darr', 'Sally Eilers', 'Gibson Gowland', 'Thomas Jefferson', 'Bob Kortman', 'F. W. Murnau', 'Barry Norton', 'Robert Parrish', 'Sally Phipps', 'Harry Semels', 'Phillips Smalley', 'Leo White', 'Clarence Wilson']",$,nan,$,4.15,$,https://letterboxd.com//film/sunrise-a-song-of-two-humans/
2001: A Space Odyssey,$,1968,$,Stanley Kubrick,$,"['Keir Dullea', 'Gary Lockwood', 'William Sylvester', 'Douglas Rain', 'Daniel Richter', 'Leonard Rossiter', 'Margaret Tyzack', 'Robert Beatty', 'Sean Sullivan', 'Frank Miller', 'Ed Bishop', 'Edwina Carroll', 'Heather Downham', 'Penny Brahms', 'Maggie London', 'Chela Matthison', 'Judy Kiern', 'Alan Gifford', 'Ann Gillis', 'Vivian Kubrick', 'Kenneth Kendall', 'Kevin Scott', 'Martin Amor', 'Bill Weston', 'Glenn Beck', 'Mike Lovell', 'John Ashley', 'Jimmy Bell', 'David Charkham', 'Simon Davis', 'Jonathan Daw', 'Péter Delmár', 'Terry Duggan', 'David Fleetwood', 'Danny Grover', 'Brian Hawley', 'David Hines', 'Tony Jackson', 'John Jordan', 'Scott MacKee', 'Laurence Marchant', 'Darryl Paes', 'Joe Refalo', 'Andy Wallace', 'Bob Wilyman', 'Richard Woods', 'S. Newton Anderson', 'Sheraton Blount', 'Ann Bormann', 'Julie Croft', 'Penny Francis', 'Marcella Markham', 'Irena Marr', 'Krystyna Marr', 'Kim Neil', 'Jane Pearl', 'Penny Pearl', 'Burnell Tucker', 'John Swindells', 'John Clifford', 'Stanley Kubrick']",$,nan,$,4.29,$,https://letterboxd.com//film/2001-a-space-odyssey/
"Sherlock, Jr.",$,1924,$,Buster Keaton,$,"['Buster Keaton', 'Kathryn McGuire', 'Joe Keaton', 'Erwin Connelly', 'Ward Crane', 'Doris Deane', 'George Davis', 'Kewpie Morgan', 'Steve Murphy', 'John Patrick', 'Betsy Ann Hisle', 'Ford West']",$,nan,$,4.25,$,https://letterboxd.com//film/sherlock-jr/
Trouble in Paradise,$,1932,$,Ernst Lubitsch,$,"['Miriam Hopkins', 'Kay Francis', 'Herbert Marshall', 'Charles Ruggles', 'Edward Everett Horton', 'C. Aubrey Smith', 'Robert Greig', 'Luis Alberni', 'Gino Corrado', 'George Humbert', 'Leonid Kinskey', 'Fred Malatesta', 'Nella Walker', 'Tyler Brooke', 'Florence Wix', 'Marion Byron', 'Louise Carter', 'Perry Ivins', 'Gus Leonard', 'Carl M. Leviness', 'Eva McKenzie', 'Hector V. Sarno', 'Rolfe Sedan', 'Larry Steers', 'Frederick Sullivan', 'Stanhope Wheatcroft']",$,nan,$,4.05,$,https://letterboxd.com//film/trouble-in-paradise/
Notorious,$,1946,$,Alfred Hitchcock,$,"['Ingrid Bergman', 'Cary Grant', 'Claude Rains', 'Leopoldine Konstantin', 'Louis Calhern', 'Alex Minotis', 'Reinhold Schünzel', 'Ivan Triesault', 'Friedrich von Ledebur', 'Peter von Zerneck', 'Eberhard Krumschmidt', 'Moroni Olsen', 'Ricardo Costa', 'Charles Mendl', 'Wally Brown', 'Fay Baker', 'Fred Nurney', 'Charles D. Brown', 'Eddie Bruce', 'Ben Erway', 'Donald Kerr', 'James Logan', 'Emmett Vogan', 'John Vosper', 'Alan Ward', 'Paul Bryar', 'George Lynn', 'Frank Marlowe', 'Howard Negley', 'Virginia Gregg', 'Bea Benaderet', 'Aileen Carlyle', 'Elizabeth Wilson', 'Almeda Fowler', 'Leota Lorraine', 'Sandra Morgan', 'Lillian West', 'Richard Clarke', 'Francis McDonald', 'Alfred Hitchcock', 'Frank McLure', 'Tom Coleman', 'Alfredo DeSa', 'Bess Flowers', 'Art Howard', 'Jeffrey Sayre', 'Bert Moorhouse', 'Gavin Gordon', 'Harry Hayden', 'Warren Jackson', 'Thomas Martin', 'Tina Menard', 'Howard M. Mitchell', 'Antonio Moreno', 'Garry Owen', 'Dink Trout', 'Lenore Ulric', 'Frank Wilcox']",$,nan,$,4.02,$,https://letterboxd.com//film/notorious/
